DatasetName,APIP_S(104) APIP_S(6) APIP_S(81) APIP_S(87),APIP_S(40) APIP_S(49) APIP_S(61) APIP_S(84),APIP_S(89)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,,,
FSO2013_Ratio M/L normalized Rep3,,,
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,0.528773606682564,,
RCJD2014_15min_1,0.5339105740839394,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,0.6040674268691378,,
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,,
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,0.6160079443527562,,
HS2024_6_B_T3,,,
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,,
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,0.5073760727339021,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,0.61289194563876,,
DB2022_Intensity L2,0.525163807294645,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,0.5532725879161824,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,
FSO2013_Ratio M/L normalized Rep1___1,,,
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,,,
RB2022_5_PreEndurance,,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,,0.4882463455908313,
WZ2023_Pu_010_30min,0.6252439317088427,,0.7421913381776057
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,,,
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,0.6070584866051134,,
RB2022_8_RecoveryEndurance,,,
KBE2022_Log2_Ex_14_U,0.600249167286705,,
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,0.5816550174845274,,
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,,,
RB2022_5_PreSprint,,,
PG2020_Intensity 8h_C,,,
AH2018_SILAC_MR_2_N,0.6101720900370948,,
MV2014_Ratio M/L normalized A1___2 (2 min),,,
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,0.5397195837219837,,
AS2011_Ratio H/L Proteins Inhi_2,,,
BS2014_Log2(Ratio H/L normalized),,,
UK2020_HCM_2,,,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,,0.43709994075236536,
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,,,
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,,,
GF2025_P6_Sph,0.5228505037867406,,
RB2022_2_PreSprint,,,
ZX2022_CB treated Replicate 3,0.6171410537233756,,
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,0.6235085488603215,,0.7363893360147793
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,0.5515170821600177,,
KBE2022_Log2_Ex_34_U,0.590439084886618,,
WZ2023_Pu_005_10min,0.6190130873880885,,0.7176666704203539
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,0.6064519338858755,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,
LG2023_GSK3α-1_intensity,,,
WZ2023_Pu_025_30min,0.6196091166131557,,0.7198679651344481
AH2018_SILAC_MR_2_X,0.6093528209408264,,
HS2024_4_PD_T2,,,
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,,,
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,0.5483959052071226,,
FR2021_Norm.Intensity.B,,,
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,
RB2022_5_PostSprint,,,
EJN2021_3_Rest_Basal,,0.4570901417224406,
CR2017_Ratio Replicate 1.3,0.5747128325194932,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,,,
HS2024_7_PD_T2,,,
FSO2013_Ratio H/L normalized Rep1___1,0.5638150024467408,,
AH2018_LFQ_1_C,0.6093997353490861,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,
KBE2022_Log2_Ex_28_T,0.5956870258441732,,
HS2024_3_B_N1,,,
RM2024_Intensity D4-2___3,,,
WZ2023_Pe_025_30min,0.6245189565006978,,0.7393642272896958
CK2022_11 40-1,0.6085227475856221,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,
AH2018_SILAC_2_X,,,
MV2014_Ratio H/M normalized A2___2 (2 min),,,
AS2011_Ratio H/L RNAi_1_2,,,
KS2014_Intensity E15_1,0.6178608644489882,,
FSO2013_Ratio H/L normalized Rep2,0.5855355774920723,,
WZ2023_Pu_005_20min,0.6250427539476358,,0.7410916075871501
NJH2024_Sub10_MICT_Post,,,
RM2024_Intensity D2-3___1,,,
CR2017_Ratio Replicate 1.5,0.5870880626781705,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,
HS2024_7_B_T3,,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,
AS2011_Ratio H/L RNAi_1,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,
AH2018_LFQ_M_1_C,0.6141060356962122,,
NJH2025_Sub7_MICT_Pre,,,
SR2019_SKBR3_Biol_repl_2,0.5806553811782746,,
HS2024_9_B_T2,,,
KTGR2014_Ratio-AA 7 mins,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,
HS2024_3_PD_T1,,,
FSO2013_Ratio M/L normalized Rep3___2,,,
SR2019_BT549_Biol_repl_3,0.5289160442112089,,
RCJD2014_20min_mean,0.6260634206856259,,
FR2021_Norm.Intensity.H,,,
RB2022_2_PreStrength,,,
DB2022_LFQ intensity L1.2,0.5279085834095604,,
HS2024_4_B_N1,,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,
CK2022_1 16-1,0.6076559034612632,,
CK2022_1 200-1,0.618629679985166,,
PG2020_Intensity Mock_10h_D,,,
SR2019_MCF10A_Biol_repl_2,,,
JJ2018_Ratio M/L normalized pP2___2,,,
HS2024_6_PD_T1,,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,
RB2022_6_RecoveryEndurance,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,
EP2017_Mitotic R#2 normalized log2 ratio,,0.4365651892930332,
RCJD2014_5min_1,0.5480437688940414,,
RM2024_Intensity D4-1___1,,,
DL2023_24h-1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,
TM2022_S2.4h.C,,,
SAS2015_PLX/AZD_Exp2,,,
CR2017_Ratio Replicate 3.3,0.5478472102826005,,
PG2020_Intensity 2h_C,,,
VOI2024_Veh2 di,,,
ZX2022_CB treated Replicate 2,0.6124464192528808,,
KBE2022_Log2_Ex_8_T,0.5849262387525341,,
NJH2025_Sub10_MICT_Post,,,
HS2024_6_I_T3,,,
RN2012_L11,0.5006397155250362,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,
IMM2018_normalised rep. int. Empty-1,,,
HS2024_5_PD_T1,,,
AH2018_LFQ_M_2_C,0.6176269027161188,,
CK2022_3 40-1,0.6131814501936836,,
RBK2021_1260T Early,,,
NJH2024_Sub4_HIIT_Post,,,
HS2024_4_I_T1,,,
YA2020_Reporter_intensity_Cancer_No.5,,,
HH2022_Reporter intensity 8,0.5843224905943367,,
ZQ2022_N2,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,
FSO2013_Ratio H/L normalized Rep3___3,,,
AH2018_TMTMS3_2_N,0.6352501401885575,,
EJN2021_5_Rest_Basal,,0.4655470258582891,
NJH2025_Sub2_HIIT_Post,,,
NJH2025_Sub1_MICT_Post,,,
HS2024_9_B_T1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,
JAW2011_Ratio H/L LS2_1,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,
NJH2024_Sub6_HIIT_Pre,,,
AH2018_SILAC_3_N,,,
YA2020_Reporter_intensity_Normal_No.1,,,
HS2024_3_B_T1,,,
JJ2018_Ratio H/L normalized___2,,,
RM2024_Intensity D0-2,,,
MV2014_Ratio M/L normalized B1___2 (5 min),,,
RB2022_7_PostStrength,,,
RB2022_1_PostEndurance,,,
CR2017_Ratio Replicate 3,0.5626327639553648,,
SR2019_Hs578T_Biol_repl_3,,,
MV2014_Ratio L/H normalized B3___1 (5 min),,,
RBK2021_1244T Early,,,
RB2022_3_PostSprint,,,
NJH2024_Sub13_MICT_Mid,,,
KTGR2014_Ratio-AA 2 mins,,,
GF2025_P7_Sph,0.5351087006191394,,
HS2024_8_I_T3,,,
CF2017_EOC 3,0.5513385753653262,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,,
HS2024_6_PD_T3,,,
DL2023_12h-2,,,
RM2024_Intensity D6-3___1,,,
FS2019_Ctr1,,,
WZ2023_Pu_010_20min,0.6205192292105702,,0.7233524798973875
AS2011_Ratio H/L_3,,,
CK2022_1 40-1,0.6139273938312787,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,,
CK2022_8 16-1,0.6035483192240845,,
KS2014_Intensity N3,0.6111791949466532,,
RB2022_4_RecoveryEndurance,,,
RB2022_5_RecoveryEndurance,,,
JAW2011_Ratio H/L LS1a_2,,,
NJH2024_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_N,,,
FSO2013_Ratio H/M normalized Rep2,,,
RAM2015_Log2 A,0.5877344627976828,,
HS2024_8_PD_T1,,,
JJ2018_Ratio H/L normalized pP2,,,
CF2017_OSE 27,,,
KS2014_Intensity E15_2,0.6155845606155305,,
BS2014_Log2(Ratio H/L protein),,,
PG2020_Intensity 8h_A,,,
HS2024_7_I_T1,,,
VOI2024_Veh3 di,,,
RKK2015_TNF-α+SC-514/basal,,,
SR2019_JIMT1_Biol_repl_1,0.5584246477480824,,
HW2015_Ratio H/L normalized Exp2,,,
HS2024_3_I_N1,,,
AH2018_SILAC_M_3_X,,,
NJH2024_Sub9_HIIT_Post,,,
AS2011_Ratio H/L RNAi_1_3,,,
GRW2016_Ratio H/L normalized SILAC 1___2,,,
NJH2025_Sub1_HIIT_Pre,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,,
NJH2024_Sub4_HIIT_Mid,,,
VOI2024_0.1uM 2 h_1 di,,,
KBE2022_Log2_Ex_6_T,0.5858989839129061,,
RM2024_Intensity D4-3___1,,,
AH2018_LFQ_4_X,0.6044124369364798,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,
RB2022_8_PostEndurance,,,
NJH2025_Sub4_MICT_Mid,,,
YP2020_Intensity C30_R1_mult_log2,,,
AST2020_anti-CD3.1,0.5519035087951593,,
NJH2025_Sub4_HIIT_Post,,,
EP2017_Untreated R#4 log2 ratio,,0.48537878135935053,
HS2024_6_B_N1,,,
KBE2022_Log2_Ex_27_T,0.5935732003701008,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,,
VOI2024_0.1uM 24 h_1 mono,,,
AMK2021_120R_p5,,,
AS2011_Ratio H/L Proteins,,,
NJH2024_Sub7_HIIT_Post,,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.588331611552946,,
AS2011_Ratio H/L RNAi_2_2,,,
RB2022_7_RecoveryStrength,,,
AH2018_SILAC_IT_3_X,,,
JAW2011_Ratio H/L,,,
PG2020_Intensity 10h_C,,,
FSO2013_Ratio M/L normalized Rep2,,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,,
HH2022_Reporter intensity 5,0.5902333965442433,,
SR2019_HCC1954_Biol_repl_2,,,
CK2022_14 40-1,0.6275667697570999,,
RB2022_6_PreSprint,,,
NJH2025_Sub12_MICT_Mid,,,
PG2020_Intensity 4h_D,,,
NJH2025_Sub2_MICT_Post,,,
AH2018_LFQ_4_C,0.6116704398761702,,
DL2023_control-1,,,
AR2021_ALG 10 μM,,,
JAW2011_Ratio H/L LS2_2,,,
AH2018_SILAC_IT_3_N,,,
EJN2021_4_Rest_Ins,,0.4575422506491218,
RN2012_H05,,0.42957042225989894,
NJH2024_Sub7_HIIT_Mid,,,
GF2025_P2_Adh,0.6551695341641369,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,,
RB2022_8_PostSprint,,,
EJN2021_1_Rest_Ins,,0.451483322534671,
HH2022_Reporter intensity 3,0.5857021610171467,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,,
AH2018_SILAC_IT_1_C,,,
JW2021_After_3,,,
GF2025_P8_Sph,0.5581994965637124,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,,
JJ2018_Ratio M/L normalized pP2___1,,,
AH2018_SILAC_2_N,,,
CK2022_11 200-1,0.6190363390391235,,
CK2022_12 200-1,0.6219823428702616,,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,,
RM2024_Intensity D2-1___3,,,
NJH2024_Sub1_MICT_Pre,,,
HH2022_Reporter intensity 9,0.5807005738343731,,
WZ2023_Su_010_20min,0.6243248213557164,,0.7386468738655404
AH2018_TMTMS2_2_N,0.5812456854774533,,
NJH2024_Sub13_MICT_Pre,,,
KBE2022_Log2_Ex_41_U,0.6042955484970529,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.5931012925758379,,
AH2018_TMTMS3_Pool,0.63128253093763,,
KS2014_Intensity N4,0.612815916849443,0.4297856196135932,
NJH2024_Sub1_HIIT_Post,,,
MM2018_Ratio H/L replicate2,,,
RM2024_Intensity D4-2___2,,,
NJH2024_Sub13_HIIT_Pre,,,
CF2017_OSE 26,0.5202271636120945,,
CK2022_14 200-1,0.6331316975903443,,
SR2019_Hs578T_Biol_repl_1,,,
RB2022_7_PostSprint,,,
TM2022_mock.4h.A,,,
NJH2025_Sub12_HIIT_Pre,,,
AH2018_TMTMS3_1_N,0.6216484072245704,,
AST2020_anti-CD3+PDL2.2,0.5516184483315124,,
PG2020_Intensity Mock_10h_A,,,
JW2021_After_2,,,
NJH2024_Sub2_MICT_Post,,,
EJN2021_2_Rest_Ins,,0.44696118154726455,
SR2019_LM2_Biol_repl_4,,,
CP2009_Ratio H/M,,,
JAW2011_Ratio H/L HS,,,
CK2022_13 16-1,0.617995018284041,,
GF2025_P1_Adh,0.4985504023542326,,
GF2025_P1_Sph,0.5091119549257848,,
EJN2021_5_Ex_Basal,,0.46745603078536213,
HS2024_7_I_T3,,,
JJ2018_Ratio H/L normalized pP2___2,,,
WZ2023_Pe_010_10min,0.6199804202592765,,0.721247074716465
CF2017_EOC 1,0.5528758157172226,,
CK2022_3 200-1,0.6184874052852986,,
AH2018_LFQ_IT_3_C,,,
SR2019_Hs578T_Biol_repl_2,0.5386172951819348,,
NJH2024_Sub12_HIIT_Post,,,
JJ2018_Ratio H/L normalized pP1___2,,,
MV2014_Ratio H/L normalized A1___2 (10 min),,,
NJH2024_Sub10_MICT_Mid,,,
NJH2024_Sub13_MICT_Post,,,
BS2014_Log2(Ratio H/L normalized Rep_1),,,
RB2022_3_RecoverySprint,,,
NJH2025_Sub1_HIIT_Mid,,,
RCJD2014_20min_2,0.5572492434529089,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,,
HS2024_6_PD_T2,,,
HS2024_5_B_T1,,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,,
DL2023_12h-3,,,
SR2019_MDAMB231_Biol_repl_2,,,
HS2024_3_B_T2,,,
RB2022_6_PreStrength,,,
CK2022_2 40-1,0.6133627744558638,,
RB2022_1_PostSprint,,,
CK2022_4 200-1,0.6173347252080497,,
JW2021_Before_2,,,
TM2022_S2.12h.A,,,
MV2014_Ratio L/M normalized B2___2 (30 min),,,
CK2022_5 16-1,0.603143359775055,,
AR2021_ALG 1 μM,,,
HS2024_4_B_T1,,,
MV2014_Ratio M/H normalized A3___1 (10 min),,,
SR2019_BT549_Biol_repl_4,0.5247571804890601,,
EJN2021_1_Rest_Basal,,0.46874834432233997,
NJH2025_Sub8_MICT_Post,,,
RCJD2014_5min_3,0.589704303385845,,
CR2017_Ratio Replicate 3.2,0.558368471429791,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,,
GF2025_P7_Adh,0.5338389570707512,,
CK2022_9 16-1,0.6030294646662204,,
NJH2024_Sub6_HIIT_Post,,,
AMK2021_30R_p3,,,
AS2011_Ratio H/L Normalized RNAi_2,,,
RM2024_Intensity D0-2___2,,,
KS2014_Intensity pY_N4,,,
CK2022_13 200-1,0.6337398260562397,,
AS2011_Ratio H/L Normalized_2,,,
PG2020_Intensity 6h_D,,,
CK2022_16 16-1,0.6183083925363653,,
FS2019_db/db3,,,
CK2022_15 40-1,0.6281811552296713,,
NJH2024_Sub9_MICT_Pre,,,
BS2014_Log2(Ratio H/L unmodified peptide),,,
WZ2023_Su_005_10min,0.6221383150858009,,0.7291828525714051
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,,
KBE2022_Log2_Ex_41_T,0.6222506516418188,,
AMK2021_Ctrl_p1,,,
AH2018_LFQ_IT_3_X,,,
HS2024_5_PD_T3,,,
AH2018_TMTMS3_3_X,0.6431444976656701,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,,
KBE2022_Log2_Ex_40_U,0.5981257974381651,,
AH2018_LFQ_M_1_N,0.6073259024554597,,
KBE2022_Log2_Ex_27_U,0.5954208279405895,,
HW2015_Ratio M/L normalized Exp3,,,
RKK2015_TNF-α/IKKb(K44M),,,
AH2018_SILAC_M_1_N,,,
HW2015_Ratio M/L normalized Exp1,,,
RB2022_5_RecoveryStrength,,,
YP2020_Intensity P10_R1_mult_log2,,,
RB2022_7_PreStrength,,,
YA2020_Reporter_intensity_Normal_No.4,,,
NJH2025_Sub13_HIIT_Pre,,,
PG2020_Intensity CT_D,,,
NJH2025_Sub9_MICT_Post,,,
VOI2024_Veh1 mono,,,
CK2022_12 16-1,0.6032935864124258,,
RN2012_L13,,0.44311976522819563,
LG2023_Control-1_intensity,,,
RM2024_Intensity D6-3___2,,,
