DatasetName,CLN6_S(23) CLN6_S(28) CLN6_S(3) CLN6_S(31),CLN6_S(16) CLN6_S(33)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.5230468919352936,
SR2019_MCF7_Biol_repl_3,0.44475493489851525,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.45126145114456223,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5086880345131786,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.45778634206442065,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,0.4531339916474001,
HS2024_7_B_N1,0.4935659420433263,
FSO2013_Ratio M/L normalized Rep1___1,0.5085349734083507,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,
WZ2023_Pu_010_30min,0.505391798055749,
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,0.5322581717019355,
KBE2022_Log2_Ex_14_U,0.48364146425967086,
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,0.506630172031932,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.5137636933595611,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,0.46772225651699756,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.4799621617274581,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,0.4961526568231951,
GF2025_P6_Sph,,
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.4979425498625545,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.4546831406950646,
WZ2023_Pu_005_10min,0.500871130330261,
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,0.5237815352175912,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5111693845665972,
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,0.4533288716198775,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.4430214766330279,
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,0.5323573674473552,
CR2017_Ratio Replicate 1.3,0.4620037099655195,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,0.4911023503737286,
FSO2013_Ratio H/L normalized Rep1___1,0.4937277402483634,
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.4998247545937864,
CK2022_11 40-1,0.5218648463276806,
CW2012_10 µM Erl/control Experiment 3 Replicate B,0.464099152889532,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.4574161836927821,
WZ2023_Pu_005_20min,0.5115532914443965,
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.4801531782521983,
CW2012_10 µM Gef/control Experiment 2 Replicate B,0.45835704719887604,
HS2024_7_B_T3,0.5314515112324042,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,0.44109925279992185,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.49962882192863434,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5042030463324566,
CK2022_1 200-1,0.5093486932229614,
PG2020_Intensity Mock_10h_D,,
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,0.5504322110081311,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,0.45618810514812347,
PG2020_Intensity 2h_C,,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,
KBE2022_Log2_Ex_8_T,0.47074987779515765,
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,0.5135044957004801,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,0.5353106191081598,
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,0.5064173850512786,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.458772406210383,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.48913059896087985,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,,
EJN2021_5_Rest_Basal,0.5279019128254686,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,0.45650600177933615,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.4899198507919915,
RB2022_1_PostEndurance,0.4279696924062293,
CR2017_Ratio Replicate 3,0.46797887328410914,
SR2019_Hs578T_Biol_repl_3,0.47761715327056026,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,0.5308386565705269,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,
HS2024_8_I_T3,0.5599426188193191,
CF2017_EOC 3,0.5441113393584175,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.4997914884182001,
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5081761250555964,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,0.4541241702044695,
KS2014_Intensity N3,,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,0.5596234747434832,
RAM2015_Log2 A,,
HS2024_8_PD_T1,0.5227859032243442,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,0.4155397409502601,
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,0.5123983877800775,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,0.4673678435505185,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.43712954295764267,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,0.473622653667803,
CW2012_10 µM Gef/control Experiment 1 Replicate A,0.44637602811260424,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.5211753961705853,0.6600710929666015
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.5301228208894413,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,0.49693374952944463,
RB2022_6_PreSprint,0.49848213557550625,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,0.48837285684068155,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,0.58014327010506,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,
EJN2021_4_Rest_Ins,0.5397445989728493,
RN2012_H05,0.5000504908730561,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.508319065304401,
EJN2021_1_Rest_Ins,0.5349839218298128,
HH2022_Reporter intensity 3,0.4939399898793179,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,
JW2021_After_3,,
GF2025_P8_Sph,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,,
CK2022_11 200-1,0.5257008975118742,
CK2022_12 200-1,0.5302041582888086,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.508664588891234,
AH2018_TMTMS2_2_N,,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.45868749562092925,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.43429511742248117,0.6360830158783424
AH2018_TMTMS3_Pool,0.47657559031941277,
KS2014_Intensity N4,,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,0.48729377392574413,
CK2022_14 200-1,0.5050589995235637,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,0.561056184992412,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,,
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,0.5363291310946408,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,0.4797111947113339,
GF2025_P1_Adh,,
GF2025_P1_Sph,,
EJN2021_5_Ex_Basal,0.5120235897021199,
HS2024_7_I_T3,0.5199547524379678,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.49830771672947727,
CF2017_EOC 1,0.5322561603895328,
CK2022_3 200-1,0.5092852352271697,
AH2018_LFQ_IT_3_C,,
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,0.4706154411182681,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,0.48607785396520986,
CW2012_10 µM Gef/control Experiment 2 Replicate A,0.46370517255718147,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,0.5077887489386484,
RB2022_1_PostSprint,0.49677473219469703,
CK2022_4 200-1,0.508399318031662,
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,0.44650108532218274,
AR2021_ALG 1 μM,0.5259148958853211,
HS2024_4_B_T1,0.4857153041207788,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,0.43639534209326664,
EJN2021_1_Rest_Basal,0.5279903332506858,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,0.46947694264395357,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,
CK2022_9 16-1,0.5271582612633856,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.5012739833172565,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,0.48314831997040103,
FS2019_db/db3,,
CK2022_15 40-1,0.49531086522177376,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.512043366850621,
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.45011305379239236,
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,0.47379262258415894,
AH2018_LFQ_M_1_N,,
KBE2022_Log2_Ex_27_U,0.4753969783421852,
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,0.4763668570782632,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,0.527210614291124,
RN2012_L13,0.4665530071584561,
LG2023_Control-1_intensity,,
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,0.47893049247127306,
SR2019_SKBR3_Biol_repl_3,,
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,0.49938867404590787,
CW2012_10 µM Erl/control Experiment 2 Replicate B,0.4417274868146944,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,0.5642287191221962,
GRW2016_Ratio M/L normalized SILAC 5a___2,,
CK2022_10 40-1,0.519673997620299,
NJH2024_Sub12_HIIT_Pre,,
NJH2024_Sub8_MICT_Pre,,
RM2024_Intensity D0-1___1,,
LY2019_P3+,0.47464240339971475,
HH2022_Reporter intensity 6,,
RB2022_2_RecoveryStrength,,
KTGR2014_Ratio-AA 15 mins,,
AS2011_Ratio H/L Normalized RNAi_2_2,,
KS2014_Intensity pY_N3,,
MV2014_Ratio H/L normalized B1___2 (30 min),,
LY2019_P5-,0.5152134959835462,
HW2015_Ratio M/L normalized Exp2,,
