DatasetName,GSS_S(151) GSS_S(18) GSS_S(181) GSS_S(3) GSS_S(301) GSS_S(304) GSS_S(415) GSS_T(147) GSS_T(238),GSS_C(415) GSS_S(10) GSS_S(37) GSS_S(48) GSS_S(67)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.521939424112669,
FSO2013_Ratio M/L normalized Rep3,0.497415949338574,
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5007165452971558,
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5270707920917672,
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.5196646487875822,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.5022031518228146,
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,0.5269392244317549,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5121136775221539,
RB2022_5_PreEndurance,0.5087659664002152,0.6316142365314227
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.505114795037042,
WZ2023_Pu_010_30min,,0.6162601695816299
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5134549894370486,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.5095872649085699,
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,0.5013083421334762,
