DatasetName,ISCU_S(14) ISCU_S(20) ISCU_S(3) ISCU_Y(43),ISCU_S(29)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,0.4781860036283915,0.5798924906729054
SR2019_MCF7_Biol_repl_3,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,0.44818925157112055,0.6400918242029671
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,0.5004079548890518,0.6980353290785202
HS2024_6_B_T3,0.40628798346749073,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.4715615280126162,0.5452540805374234
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.4698184525573583,0.51065270432432
SR2019_MDAMB231_Biol_repl_4,,
GF2025_P2_Sph,0.40072957032017015,0.5633941889918586
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,0.4600378351475395,0.4587266523756683
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,0.5080573832551039,
HS2024_7_B_N1,0.4972021980185998,
FSO2013_Ratio M/L normalized Rep1___1,0.4680178723192368,0.511324450616821
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,0.4561716824990933,
WZ2023_Pu_010_30min,0.5010287309237985,0.6629830707599103
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,0.458692879523894,0.5997506075673714
RB2022_8_RecoveryEndurance,,
KBE2022_Log2_Ex_14_U,,0.4183387334881707
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.49746651712245615,0.5809765727248443
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,
AH2018_SILAC_MR_2_N,0.44884703785581187,0.5097726023158266
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,0.44788754620826016,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,0.45091400088507994,
EP2017_Pervanadate R#3 normalized log2 ratio,0.45620252688233165,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,
GF2025_P6_Sph,0.4332833196497353,0.4139703706179226
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,0.49835297768467957,0.7038497313078927
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5025444870709982,0.6552752100037074
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.44400784236119606,0.4824266008820678
WZ2023_Pu_005_10min,0.5012556186707807,0.6445989118089608
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5030009957164708,0.6512831628562447
AH2018_SILAC_MR_2_X,0.44213558222315624,0.5188078124753145
HS2024_4_PD_T2,0.5034842429004751,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5120009750251853,0.6445307631019833
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,
EJN2021_3_Rest_Basal,,
CR2017_Ratio Replicate 1.3,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,0.6442105298550211
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,0.4748105392447877,0.6325231903131857
HS2024_7_PD_T2,0.3780818024001679,
FSO2013_Ratio H/L normalized Rep1___1,0.4987196580833971,0.5770938414940399
AH2018_LFQ_1_C,0.44621282665276435,0.5615335052192941
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.518591701980242
HS2024_3_B_N1,0.4929463402169554,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.500946906353152,0.6521605258101453
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,0.43501549328400113,
AH2018_SILAC_2_X,0.4724849667148049,0.6292406554318616
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,0.4796245363919045,0.6495060551859617
WZ2023_Pu_005_20min,0.5017177567770877,0.65960871378728
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5015367021755386,0.6214852449118767
CW2012_10 µM Gef/control Experiment 2 Replicate B,0.48469493637075367,
HS2024_7_B_T3,0.547520860088357,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,0.4829739035148477,
AH2018_LFQ_M_1_C,0.45945601868812064,0.5851629421476064
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,
HS2024_9_B_T2,0.3873732150960957,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5379612230206388,
FSO2013_Ratio M/L normalized Rep3___2,0.5027194029894436,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.48022095893381245,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,
CK2022_1 200-1,0.45316420060558504,
PG2020_Intensity Mock_10h_D,,0.3229152061588781
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5551079417472289,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.43352879206329487,
RCJD2014_5min_1,,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,
PG2020_Intensity 2h_C,0.4383738556694371,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.4863883685985787,0.6909374029815912
KBE2022_Log2_Ex_8_T,,0.5627671406473369
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,0.5463439584546107,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.47069033102223273,0.5470087563368797
HS2024_5_PD_T1,0.5223674602079695,
AH2018_LFQ_M_2_C,0.45587444010744477,0.5818957771193976
CK2022_3 40-1,,
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,0.5247356708494368,
YA2020_Reporter_intensity_Cancer_No.5,0.4801278839778541,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5344952487674047,0.6880355311327183
EJN2021_5_Rest_Basal,,
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,0.39416672393305685,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.6400440457858954
YA2020_Reporter_intensity_Normal_No.1,0.5012646513285755,
HS2024_3_B_T1,0.4080673836568156,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.5204496817541489
SR2019_Hs578T_Biol_repl_3,,
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5109327984800043,0.662565603939702
HS2024_8_I_T3,0.5182504263976795,
CF2017_EOC 3,,0.3446110824255438
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5509822466326841,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,0.5016424010193179,0.6516859317767948
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,
KS2014_Intensity N3,,
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,0.45907056502229915,0.6464436545223673
FSO2013_Ratio H/M normalized Rep2,0.4741901606191702,0.4786871899522786
RAM2015_Log2 A,0.5075257726981147,
HS2024_8_PD_T1,0.4965917322561981,
JJ2018_Ratio H/L normalized pP2,,
CF2017_OSE 27,,
KS2014_Intensity E15_2,,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,
HS2024_7_I_T1,0.5386170174984115,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,0.496869550734483,
AH2018_SILAC_M_3_X,,0.6455478655094133
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.4342220608909509
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,0.45196704845587854,0.5374160650250243
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,0.4570236874647319,
HS2024_6_B_N1,0.5000404606872135,
KBE2022_Log2_Ex_27_T,,0.4948513719835008
CW2012_10 µM Gef/control Experiment 1 Replicate A,0.5485360515564646,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),0.4862526063324521,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,
AH2018_SILAC_IT_3_X,0.4611236078959433,0.6447063256957172
JAW2011_Ratio H/L,0.5114262797507753,
PG2020_Intensity 10h_C,,
FSO2013_Ratio M/L normalized Rep2,0.44185386093237317,0.5786062297234226
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,0.4451311402234269,0.5705336675653374
DL2023_control-1,,
AR2021_ALG 10 μM,,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.46772626032491615,0.6638577058352126
EJN2021_4_Rest_Ins,,
RN2012_H05,0.4670914403456864,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,0.39709229024714,0.3414185224237683
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,
EJN2021_1_Rest_Ins,,
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.44778053728299316,0.651969169629461
JW2021_After_3,,0.5332163924274788
GF2025_P8_Sph,0.5428260094866755,0.5593922632482263
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,
AH2018_SILAC_2_N,0.47057530688921995,0.6227042027313968
CK2022_11 200-1,0.43144768625834845,
CK2022_12 200-1,0.43461526320065913,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,0.500561909977946,0.6578260637437462
AH2018_TMTMS2_2_N,0.4988633946922114,0.5806835409464524
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,0.438959155562721,0.4929354957301104
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),0.4734538659573595,
AH2018_TMTMS3_Pool,0.5378529565617427,0.6941424876295843
KS2014_Intensity N4,,
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,
CK2022_14 200-1,0.45761824417711583,
SR2019_Hs578T_Biol_repl_1,,
RB2022_7_PostSprint,,
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.5441086456632366,0.7179718125878383
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,0.3983937053477888,0.3494521643491241
JW2021_After_2,,0.4248159672351113
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,
SR2019_LM2_Biol_repl_4,,
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,0.5030146410234535,
CK2022_13 16-1,,
GF2025_P1_Adh,0.4770806782010832,0.4534693437520082
GF2025_P1_Sph,0.5156633041762578,0.5836737248658218
EJN2021_5_Ex_Basal,,
HS2024_7_I_T3,0.38633830138939734,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,0.5012455423477846,0.6363516771677733
CF2017_EOC 1,,0.4524668131839044
CK2022_3 200-1,0.45108081866528776,
AH2018_LFQ_IT_3_C,0.47003841498082116,0.6268263172979873
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,
RB2022_3_RecoverySprint,,
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,0.5176616954985351,
HS2024_5_B_T1,0.5386245306539621,
CW2012_10 µM Gef/control Experiment 2 Replicate A,0.49781540717582545,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,0.3838667748045196,
RB2022_6_PreStrength,,
CK2022_2 40-1,,
RB2022_1_PostSprint,,
CK2022_4 200-1,0.4529011633280844,
JW2021_Before_2,,0.5472105067249167
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,
AR2021_ALG 1 μM,,
HS2024_4_B_T1,0.5584493670725421,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,
CR2017_Ratio Replicate 3.2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,0.5187492788359194,0.5335344300031887
CK2022_9 16-1,,
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,0.45662126568598804,
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,
CK2022_16 16-1,,
FS2019_db/db3,,
CK2022_15 40-1,,
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,0.4964632433615509,0.6335517754664164
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,0.4429726655412116,0.4705468167173796
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,0.4724592316694743,0.6288990435409381
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,0.5391086979998795,0.7007532273848261
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.4732237428778958
AH2018_LFQ_M_1_N,0.469895478736153,0.5664296670029411
KBE2022_Log2_Ex_27_U,,0.4957224293710501
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,0.4609440824066566,0.6467570898868578
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,
YA2020_Reporter_intensity_Normal_No.4,0.46802846973292656,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,0.3983443029675301
NJH2025_Sub9_MICT_Post,,
