DatasetName,KRR1_S(276) KRR1_S(284) KRR1_S(31),KRR1_S(3) KRR1_S(5)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,
FSO2013_Ratio M/L normalized Rep3,,0.5900778178857241
SR2019_MCF7_Biol_repl_3,,0.5538493828962384
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,
SR2019_LM2_Biol_repl_1,,0.48058144653310053
RCJD2014_15min_1,,0.5010603618457012
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,0.47837041983731377
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,
JJ2018_Ratio H/M normalized pP2,,0.5000791168307352
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,
DL2023_control-3,,
ZX2022_Control Replicate 2,,0.5571710502455267
HS2024_6_B_T3,,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,0.5238194281145294
SR2019_MDAMB231_Biol_repl_4,,0.5086672431878669
GF2025_P2_Sph,,0.49259589726994735
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,
KBE2022_Log2_Ex_44_T,,0.5877954027527654
DB2022_Intensity L2,,
TM2022_mock.4h.C,,
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,
FSO2013_Ratio M/L normalized Rep1___1,,0.5241703174059428
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,0.5094465282229459
RB2022_5_PreEndurance,,0.5125888499294908
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,0.569627834066259
EP2017_Untreated R#4 normalized log2 ratio,,
WZ2023_Pu_010_30min,,0.5268200701430305
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,,
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,0.5137638007970105
KBE2022_Log2_Ex_14_U,,0.5842594262012633
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,0.43646241635085964,
JJ2018_Ratio H/L normalized___1,,0.504707084008276
ZQ2022_C2,,
RB2022_5_PreSprint,,0.5136469616775526
PG2020_Intensity 8h_C,,0.5551290116673091
AH2018_SILAC_MR_2_N,,0.5698498922577413
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,
LY2019_P1+,,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),,0.42947558052631907
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,0.4952319112007445
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,
RB2022_5_PostStrength,,0.5315828808528091
GF2025_P6_Sph,,0.5486842810293344
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,0.5558675066850656
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.5096402411830505
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,,0.6233841952993946
WZ2023_Pu_005_10min,,0.5339449404271228
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,0.49302070792218144
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.5451671347201632
AH2018_SILAC_MR_2_X,,0.5680307906309559
HS2024_4_PD_T2,,
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.4740503905698622
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,0.524338553924862
EJN2021_3_Rest_Basal,,0.5362508657918552
CR2017_Ratio Replicate 1.3,,0.5821854136871185
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,0.49011995796972097
JJ2018_Ratio M/L normalized pP3,,0.5282736182555723
AH2018_SILAC_M_2_N,,0.6439007986139789
HS2024_7_PD_T2,,
FSO2013_Ratio H/L normalized Rep1___1,,0.4819837210611801
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,,0.5835045501843881
HS2024_3_B_N1,,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.523552143990071
CK2022_11 40-1,,0.48516673380144304
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,0.5663933969976984
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,0.6811808958225605
FSO2013_Ratio H/L normalized Rep2,,0.55371829096081
WZ2023_Pu_005_20min,,0.554188985365227
NJH2024_Sub10_MICT_Post,,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.4619327770853382
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,0.5592728739928479
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,,
SR2019_SKBR3_Biol_repl_2,,0.5041059746648378
HS2024_9_B_T2,,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,,
FSO2013_Ratio M/L normalized Rep3___2,,
SR2019_BT549_Biol_repl_3,,
RCJD2014_20min_mean,,0.574493942386469
FR2021_Norm.Intensity.H,,
RB2022_2_PreStrength,,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,,0.5202535717410006
CK2022_1 200-1,,0.5938492270145461
PG2020_Intensity Mock_10h_D,,0.6034996735853149
SR2019_MCF10A_Biol_repl_2,,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,,
RCJD2014_5min_1,,0.49549301391231815
RM2024_Intensity D4-1___1,,
DL2023_24h-1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,,
SAS2015_PLX/AZD_Exp2,,
CR2017_Ratio Replicate 3.3,,0.5230095898546883
PG2020_Intensity 2h_C,,0.5710275395434588
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,,0.540556749689538
KBE2022_Log2_Ex_8_T,,0.556711241581749
NJH2025_Sub10_MICT_Post,,
HS2024_6_I_T3,,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,,
HS2024_5_PD_T1,,
AH2018_LFQ_M_2_C,,
CK2022_3 40-1,,0.4863294463539404
RBK2021_1260T Early,,
NJH2024_Sub4_HIIT_Post,,
HS2024_4_I_T1,,
YA2020_Reporter_intensity_Cancer_No.5,,
HH2022_Reporter intensity 8,,
ZQ2022_N2,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.47142661129404834,0.540442156255027
EJN2021_5_Rest_Basal,,0.5581627285420487
NJH2025_Sub2_HIIT_Post,,
NJH2025_Sub1_MICT_Post,,
HS2024_9_B_T1,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,,
AH2018_SILAC_3_N,,0.5228764907681678
YA2020_Reporter_intensity_Normal_No.1,,
HS2024_3_B_T1,,
JJ2018_Ratio H/L normalized___2,,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,,0.5431265316635276
RB2022_1_PostEndurance,,
CR2017_Ratio Replicate 3,,0.5106080168077489
SR2019_Hs578T_Biol_repl_3,,0.4751996442110361
MV2014_Ratio L/H normalized B3___1 (5 min),,
RBK2021_1244T Early,,
RB2022_3_PostSprint,,0.527765298706
NJH2024_Sub13_MICT_Mid,,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,,0.5316392280672497
HS2024_8_I_T3,,
CF2017_EOC 3,,0.6348345053009794
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,,
DL2023_12h-2,,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,,
WZ2023_Pu_010_20min,,0.49344332019005477
AS2011_Ratio H/L_3,,
CK2022_1 40-1,,0.4862884796333642
RNJ2017_Log2_ratio_Tsup:Trest_D1,,
CK2022_8 16-1,,0.48777520104984934
KS2014_Intensity N3,0.4424363952159065,0.6075099451537098
RB2022_4_RecoveryEndurance,,
RB2022_5_RecoveryEndurance,,0.4920210623575398
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_N,,
FSO2013_Ratio H/M normalized Rep2,,0.5485803724015346
RAM2015_Log2 A,,0.5742714892903138
HS2024_8_PD_T1,,
JJ2018_Ratio H/L normalized pP2,,0.5152889712028695
CF2017_OSE 27,,0.5814718172999978
KS2014_Intensity E15_2,0.4374192118442377,0.6750540856619363
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,,0.5371624408357214
HS2024_7_I_T1,,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,,
SR2019_JIMT1_Biol_repl_1,,0.5014999498517305
HW2015_Ratio H/L normalized Exp2,,
HS2024_3_I_N1,,
AH2018_SILAC_M_3_X,,0.49424390299829746
NJH2024_Sub9_HIIT_Post,,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,
NJH2024_Sub4_HIIT_Mid,,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,,0.6317606559800564
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,,0.5217200750979434
NJH2025_Sub4_MICT_Mid,,
YP2020_Intensity C30_R1_mult_log2,,
AST2020_anti-CD3.1,,
NJH2025_Sub4_HIIT_Post,,
EP2017_Untreated R#4 log2 ratio,,
HS2024_6_B_N1,,
KBE2022_Log2_Ex_27_T,,0.6550465482948433
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,,0.4789333396516594
AH2018_SILAC_IT_3_X,,0.6116363860976407
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,,0.5278810796747689
FSO2013_Ratio M/L normalized Rep2,,0.6131723333115011
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,,
CK2022_14 40-1,,0.4864924377107187
RB2022_6_PreSprint,,
NJH2025_Sub12_MICT_Mid,,
PG2020_Intensity 4h_D,,0.6029315932998374
NJH2025_Sub2_MICT_Post,,
AH2018_LFQ_4_C,,
DL2023_control-1,,
AR2021_ALG 10 μM,,0.5945210232905969
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,,0.5121264790648504
EJN2021_4_Rest_Ins,,0.5563652855237557
RN2012_H05,,
NJH2024_Sub7_HIIT_Mid,,
GF2025_P2_Adh,,0.5109587788782255
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,,0.5031411638241688
EJN2021_1_Rest_Ins,,0.5487872048060205
HH2022_Reporter intensity 3,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,,0.6237507123022694
JW2021_After_3,,
GF2025_P8_Sph,,0.5524940635928633
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,,0.5423800141916597
AH2018_SILAC_2_N,,0.6007744178381397
CK2022_11 200-1,,0.5920334304524444
CK2022_12 200-1,,0.5978026639195205
AS2011_Ratio H/L Normalized by Protein RNAi_1,,
RM2024_Intensity D2-1___3,,
NJH2024_Sub1_MICT_Pre,,
HH2022_Reporter intensity 9,,
WZ2023_Su_010_20min,,0.5366888012172885
AH2018_TMTMS2_2_N,0.4366105305753843,
NJH2024_Sub13_MICT_Pre,,
KBE2022_Log2_Ex_41_U,,0.600108504604951
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,
AH2018_TMTMS3_Pool,0.4434881390116249,0.5272333306580264
KS2014_Intensity N4,0.4450258659112276,0.6363441420470013
NJH2024_Sub1_HIIT_Post,,
MM2018_Ratio H/L replicate2,,
RM2024_Intensity D4-2___2,,
NJH2024_Sub13_HIIT_Pre,,
CF2017_OSE 26,,0.6262550411835384
CK2022_14 200-1,,0.5888656301552015
SR2019_Hs578T_Biol_repl_1,,0.46809694757697273
RB2022_7_PostSprint,,0.517657272033146
TM2022_mock.4h.A,,
NJH2025_Sub12_HIIT_Pre,,
AH2018_TMTMS3_1_N,0.4777036027878408,0.45281643217905143
AST2020_anti-CD3+PDL2.2,,
PG2020_Intensity Mock_10h_A,,0.5765458649407993
JW2021_After_2,,
NJH2024_Sub2_MICT_Post,,
EJN2021_2_Rest_Ins,,0.5402377040772142
SR2019_LM2_Biol_repl_4,,0.4549738235297096
CP2009_Ratio H/M,,
JAW2011_Ratio H/L HS,,
CK2022_13 16-1,,0.5281042581141346
GF2025_P1_Adh,,0.5296338375077229
GF2025_P1_Sph,,0.5227014723043165
EJN2021_5_Ex_Basal,,0.5579440172016341
HS2024_7_I_T3,,
JJ2018_Ratio H/L normalized pP2___2,,
WZ2023_Pe_010_10min,,0.5319096520449474
CF2017_EOC 1,,0.6203097442554883
CK2022_3 200-1,,0.5933994013583501
AH2018_LFQ_IT_3_C,,0.6240978769617782
SR2019_Hs578T_Biol_repl_2,,
NJH2024_Sub12_HIIT_Post,,
JJ2018_Ratio H/L normalized pP1___2,,
MV2014_Ratio H/L normalized A1___2 (10 min),,
NJH2024_Sub10_MICT_Mid,,
NJH2024_Sub13_MICT_Post,,
BS2014_Log2(Ratio H/L normalized Rep_1),,0.49523136182447025
RB2022_3_RecoverySprint,,0.4990122128160783
NJH2025_Sub1_HIIT_Mid,,
RCJD2014_20min_2,,0.47715540674259743
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,
HS2024_6_PD_T2,,
HS2024_5_B_T1,,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,
DL2023_12h-3,,
SR2019_MDAMB231_Biol_repl_2,,
HS2024_3_B_T2,,
RB2022_6_PreStrength,,
CK2022_2 40-1,,0.4921188595214374
RB2022_1_PostSprint,,
CK2022_4 200-1,,0.5922144456741278
JW2021_Before_2,,
TM2022_S2.12h.A,,
MV2014_Ratio L/M normalized B2___2 (30 min),,
CK2022_5 16-1,,0.47905365082535045
AR2021_ALG 1 μM,,0.5963330596071877
HS2024_4_B_T1,,
MV2014_Ratio M/H normalized A3___1 (10 min),,
SR2019_BT549_Biol_repl_4,,
EJN2021_1_Rest_Basal,,0.544536940890826
NJH2025_Sub8_MICT_Post,,
RCJD2014_5min_3,,0.584259262134012
CR2017_Ratio Replicate 3.2,,0.5806585585297783
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,
GF2025_P7_Adh,,0.5502091886440983
CK2022_9 16-1,,0.5237645430088375
NJH2024_Sub6_HIIT_Post,,
AMK2021_30R_p3,,
AS2011_Ratio H/L Normalized RNAi_2,,
RM2024_Intensity D0-2___2,,
KS2014_Intensity pY_N4,,
CK2022_13 200-1,,0.5870325013085266
AS2011_Ratio H/L Normalized_2,,
PG2020_Intensity 6h_D,,0.5997667414548036
CK2022_16 16-1,,0.5294744020360027
FS2019_db/db3,,
CK2022_15 40-1,,0.4913541773189869
NJH2024_Sub9_MICT_Pre,,
BS2014_Log2(Ratio H/L unmodified peptide),,
WZ2023_Su_005_10min,,0.5303482383566267
RM2009_Ratio M/L (M:15 min timepoint;L:0 min. timepoint),,
KBE2022_Log2_Ex_41_T,,0.5852706992661298
AMK2021_Ctrl_p1,,
AH2018_LFQ_IT_3_X,,0.5660487868285486
HS2024_5_PD_T3,,
AH2018_TMTMS3_3_X,,0.5800032725719704
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2,,
KBE2022_Log2_Ex_40_U,,0.6128671444572622
AH2018_LFQ_M_1_N,,0.5328281675606068
KBE2022_Log2_Ex_27_U,,0.6447263919072239
HW2015_Ratio M/L normalized Exp3,,
RKK2015_TNF-α/IKKb(K44M),,
AH2018_SILAC_M_1_N,,0.5327377185105251
HW2015_Ratio M/L normalized Exp1,,
RB2022_5_RecoveryStrength,,0.5547892598279103
YP2020_Intensity P10_R1_mult_log2,,
RB2022_7_PreStrength,,0.47268686752901
YA2020_Reporter_intensity_Normal_No.4,,
NJH2025_Sub13_HIIT_Pre,,
PG2020_Intensity CT_D,,0.5965875216101537
NJH2025_Sub9_MICT_Post,,
VOI2024_Veh1 mono,,
CK2022_12 16-1,,0.5356329924575334
RN2012_L13,,
LG2023_Control-1_intensity,,0.663542758465798
RM2024_Intensity D6-3___2,,
KBE2022_Log2_Ex_8_U,,0.5686692296967115
SR2019_SKBR3_Biol_repl_3,,0.5163268000167187
NJH2024_Sub1_MICT_Post,,
HS2024_3_I_T2,,
KTGR2014_Ratio M L Normalized Rep2_Rapamycin_0_15,,
RM2024_Intensity D0-3___3,,
HS2024_6_I_T2,,
CW2012_10 µM Erl/control Experiment 2 Replicate B,,
AS2011_Ratio H/L Protein Inhi_1,,
FSO2013_Ratio H/M normalized Rep2___1,,0.5546690626088487
