DatasetName,NOM1_S(280) NOM1_T(287),NOM1_S(129) NOM1_S(57) NOM1_T(65),NOM1_S(135) NOM1_S(139),NOM1_S(317) NOM1_S(320) NOM1_S(321)
RM2024_Intensity D4-1___3,,,,
RB2022_4_PostEndurance,,,,
FSO2013_Ratio M/L normalized Rep3,,0.5132809248636322,,
SR2019_MCF7_Biol_repl_3,,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,,
SR2019_LM2_Biol_repl_1,,,,
RCJD2014_15min_1,0.5155796791895648,,,0.2378007387309141
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,,
CK2022_7 16-1,,,,
NJH2025_Sub12_HIIT_Mid,,,,
AH2018_LFQ_IT_1_C,,,,
RKK2015_TNF-α/basal,0.5363424445134186,,,0.6259732833469364
JJ2018_Ratio H/M normalized pP2,,,,
NJH2025_Sub12_MICT_Pre,,,,
NJH2025_Sub7_MICT_Post,,,,
DL2023_control-3,,,,0.5624058776301524
ZX2022_Control Replicate 2,,,,0.585424553638587
HS2024_6_B_T3,,,0.5645358656699063,0.6271125111000092
JW2015_Intensity pre1,,,,
IMM2018_normalised rep. int. Empty-3,,,0.5667460425312075,
AMK2021_30R_p5,,,,
FSO2013_Ratio M/L normalized Rep1,,0.5249218213903154,,
SR2019_MDAMB231_Biol_repl_4,,,,
GF2025_P2_Sph,,,0.4602277423189929,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,,
NJH2025_Sub13_HIIT_Mid,,,,
CP2009_Ratio M/L,,,,
NJH2025_Sub7_HIIT_Post,,,,
KBE2022_Log2_Ex_44_T,,,,
DB2022_Intensity L2,,,,
TM2022_mock.4h.C,,,,
AST2020_anti-CD3.2,0.4463473833957304,,,0.5404166452096734
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,,
HS2024_7_B_N1,,,0.49194466040404666,
FSO2013_Ratio M/L normalized Rep1___1,,0.5250377964132134,,
SAS2015_AZD/DMSO_Exp3,,,,0.4971646259606242
RM2024_Intensity D0-2___3,,,,
RM2024_Intensity D6-1,,,,
RB2022_8_RecoverySprint,,,,
RB2022_5_PreEndurance,,,,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,,
EP2017_Untreated R#4 normalized log2 ratio,,,0.5258434827221952,
WZ2023_Pu_010_30min,0.494096320705967,0.5212993465890224,,
AS2011_Ratio H/L Proteins RNAi_2,,,,
RB2022_4_PreStrength,,,,
NJH2024_Sub4_MICT_Post,,,,
AH2018_LFQ_M_1_X,,,,
RB2022_8_RecoveryEndurance,,,,
KBE2022_Log2_Ex_14_U,,,,
FSO2013_Ratio M/L normalized Rep3___3,,,,
AH2018_TMTMS3_1_C,,,,0.604874206680806
JJ2018_Ratio H/L normalized___1,,,,
ZQ2022_C2,,,,
RB2022_5_PreSprint,,,,
PG2020_Intensity 8h_C,,,,
AH2018_SILAC_MR_2_N,,,,
MV2014_Ratio M/L normalized A1___2 (2 min),,,,
TM2022_S2.8h.B,,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,,
RM2024_Intensity D6-1___2,,,,
NJH2025_Sub7_MICT_Mid,,,,
LY2019_P1+,,,,
AS2011_Ratio H/L Proteins Inhi_2,,,,
BS2014_Log2(Ratio H/L normalized),0.5537559276781648,,0.5290786562628309,
UK2020_HCM_2,,,,
FSO2013_Ratio H/L normalized Rep2___2,,,,
EP2017_Pervanadate R#3 normalized log2 ratio,,,0.5139807546466064,
RM2024_Intensity D4-3___3,,,,
RB2022_5_PreStrength,,,,
NJH2024_Sub4_MICT_Mid,,,,
TM2022_S2.4h.A,,,,
RB2022_5_PostStrength,,,,
GF2025_P6_Sph,0.4145574772099274,,0.5262686323495582,
RB2022_2_PreSprint,,,,
ZX2022_CB treated Replicate 3,,,,0.5831704444052556
RM2024_Intensity D6-2___3,,,,
WZ2023_Pe_025_10min,0.46839989283918493,0.5200287146619494,,
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,,
AST2020_anti-CD3+PDL2.1,0.4395662840650718,,,0.5409166947499728
KBE2022_Log2_Ex_34_U,,,,
WZ2023_Pu_005_10min,0.4779552854682626,0.5200007299247628,,
AS2011_Ratio H/L RNAi_2_1,,,,
NJH2024_Sub9_HIIT_Mid,,,,
CK2022_9 40-1,,,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,,
LG2023_GSK3α-1_intensity,,,,
WZ2023_Pu_025_30min,0.47391768663901135,0.5197333537704928,,
AH2018_SILAC_MR_2_X,,,,
HS2024_4_PD_T2,,,0.49250941463311615,
NJH2024_Sub4_HIIT_Pre,,,,
RB2022_2_RecoverySprint,,,,
AS2011_Ratio H/L Protein RNAi_1,,,,
RM2024_Intensity D2-1___2,,,,
CR2017_Ratio Replicate 1.4,0.7308190047801144,0.5331099674572213,,
FR2021_Norm.Intensity.B,0.40490384303215554,,,
RM2024_Intensity D6-2___1,,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,,
RB2022_5_PostSprint,,,,
EJN2021_3_Rest_Basal,,,,
CR2017_Ratio Replicate 1.3,,,,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,,
KTGR2014_Ratio-Rapa 7 mins,,,,
AMK2021_120R_p1,,,,
AH2018_SILAC_3_X,,,,
JJ2018_Ratio M/L normalized pP3,,,,
AH2018_SILAC_M_2_N,,,,
HS2024_7_PD_T2,,,0.5321320685538913,
FSO2013_Ratio H/L normalized Rep1___1,,0.5587630603891007,0.5298961646095748,
AH2018_LFQ_1_C,,,,
AS2011_Ratio H/L Normalized Inhi_1_3,,,,
KBE2022_Log2_Ex_28_T,,,,
HS2024_3_B_N1,,,0.6021492280665679,0.553036126530337
RM2024_Intensity D4-2___3,,,,
WZ2023_Pe_025_30min,0.4925410551524538,0.5192114875603229,,
CK2022_11 40-1,,,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,,
AH2018_SILAC_2_X,,,,
MV2014_Ratio H/M normalized A2___2 (2 min),,,,
AS2011_Ratio H/L RNAi_1_2,,,,
KS2014_Intensity E15_1,,,,
FSO2013_Ratio H/L normalized Rep2,,0.534759043808975,0.5083966133721747,
WZ2023_Pu_005_20min,0.5018388283190149,0.5184903855024786,,
NJH2024_Sub10_MICT_Post,,,,
RM2024_Intensity D2-3___1,,,,
CR2017_Ratio Replicate 1.5,0.6644235571399497,0.5322237196044447,,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,,
HS2024_7_B_T3,0.5234813218631826,,0.5841856343724386,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,,
AS2011_Ratio H/L RNAi_1,,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,,
AH2018_LFQ_M_1_C,,,,
NJH2025_Sub7_MICT_Pre,,,,
SR2019_SKBR3_Biol_repl_2,,,,
HS2024_9_B_T2,,,0.5817904542909793,0.44964911068728447
KTGR2014_Ratio-AA 7 mins,,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,,
HS2024_3_PD_T1,,,0.5287572429656449,0.6083992730774793
FSO2013_Ratio M/L normalized Rep3___2,,,,
SR2019_BT549_Biol_repl_3,,,,
RCJD2014_20min_mean,0.5090201679715102,,,0.5030140174652025
FR2021_Norm.Intensity.H,0.40564416949831794,,,
RB2022_2_PreStrength,,,,
DB2022_LFQ intensity L1.2,,,,
HS2024_4_B_N1,,,0.5550708660098078,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,,
CK2022_1 16-1,,,,
CK2022_1 200-1,,,0.5189430872317204,
PG2020_Intensity Mock_10h_D,,,,
SR2019_MCF10A_Biol_repl_2,,,,
JJ2018_Ratio M/L normalized pP2___2,,,,
HS2024_6_PD_T1,,,0.5245140485638338,0.5645569594892196
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,,
RB2022_6_RecoveryEndurance,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,,
EP2017_Mitotic R#2 normalized log2 ratio,,,0.4706098298701069,
RCJD2014_5min_1,0.4651308908903212,,,0.5974412420281657
RM2024_Intensity D4-1___1,,,,
DL2023_24h-1,,,,0.5655468613282223
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,,
TM2022_S2.4h.C,,,,
SAS2015_PLX/AZD_Exp2,,0.4896652817142326,,0.4044065310991401
CR2017_Ratio Replicate 3.3,,,,
PG2020_Intensity 2h_C,,,,
VOI2024_Veh2 di,,,,
ZX2022_CB treated Replicate 2,,,,0.5750777174771543
KBE2022_Log2_Ex_8_T,,,,
NJH2025_Sub10_MICT_Post,,,,
HS2024_6_I_T3,,,0.5676669942659602,0.4380608935100532
RN2012_L11,,,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,,
IMM2018_normalised rep. int. Empty-1,,,0.567061547062148,
HS2024_5_PD_T1,,,0.5498350097956319,
AH2018_LFQ_M_2_C,,,,
CK2022_3 40-1,,,,
RBK2021_1260T Early,,,,
NJH2024_Sub4_HIIT_Post,,,,
HS2024_4_I_T1,0.5580276912523683,,0.5398979884333639,
YA2020_Reporter_intensity_Cancer_No.5,,,,
HH2022_Reporter intensity 8,,,,
ZQ2022_N2,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,,
FSO2013_Ratio H/L normalized Rep3___3,,,,
AH2018_TMTMS3_2_N,0.30187358388056745,,,0.535883760197093
EJN2021_5_Rest_Basal,,,,
NJH2025_Sub2_HIIT_Post,,,,
NJH2025_Sub1_MICT_Post,,,,
HS2024_9_B_T1,,,0.5641535878508723,0.44417448605769155
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,,
JAW2011_Ratio H/L LS2_1,,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,,
NJH2024_Sub6_HIIT_Pre,,,,
AH2018_SILAC_3_N,,,,
YA2020_Reporter_intensity_Normal_No.1,,,,
HS2024_3_B_T1,,,0.552994201193739,0.4847749438189257
JJ2018_Ratio H/L normalized___2,,,,
RM2024_Intensity D0-2,,,,
MV2014_Ratio M/L normalized B1___2 (5 min),0.4121107329255544,,,
RB2022_7_PostStrength,,,,
RB2022_1_PostEndurance,,,,
CR2017_Ratio Replicate 3,,0.5026876447422226,,
SR2019_Hs578T_Biol_repl_3,,,,
MV2014_Ratio L/H normalized B3___1 (5 min),,,,
RBK2021_1244T Early,,,,
RB2022_3_PostSprint,,,,
NJH2024_Sub13_MICT_Mid,,,,
KTGR2014_Ratio-AA 2 mins,,,,
GF2025_P7_Sph,0.5124882374353101,,0.5255027764275746,
HS2024_8_I_T3,,,0.5041766063903904,
CF2017_EOC 3,,,,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,,,
HS2024_6_PD_T3,,,0.49715226577361116,0.46870295277618884
DL2023_12h-2,,,,0.5782070505384483
RM2024_Intensity D6-3___1,,,,
FS2019_Ctr1,,,,
WZ2023_Pu_010_20min,0.48730272691499527,0.5223373428634129,,
AS2011_Ratio H/L_3,,,,
CK2022_1 40-1,,,,
RNJ2017_Log2_ratio_Tsup:Trest_D1,,,,
CK2022_8 16-1,,,,
KS2014_Intensity N3,,,,
RB2022_4_RecoveryEndurance,,,,
RB2022_5_RecoveryEndurance,,,,
JAW2011_Ratio H/L LS1a_2,,,,
NJH2024_Sub12_HIIT_Mid,,,,
AH2018_LFQ_IT_1_N,,,,
FSO2013_Ratio H/M normalized Rep2,,0.5247753204208945,0.49191722473449373,
RAM2015_Log2 A,,,,
HS2024_8_PD_T1,,,0.5245727139392748,
JJ2018_Ratio H/L normalized pP2,,,,
CF2017_OSE 27,,,,
KS2014_Intensity E15_2,,,,
BS2014_Log2(Ratio H/L protein),,,,
PG2020_Intensity 8h_A,,,,
HS2024_7_I_T1,0.5556711062509717,,0.5454344522945831,
VOI2024_Veh3 di,,,,
RKK2015_TNF-α+SC-514/basal,,,,0.5738150731623406
SR2019_JIMT1_Biol_repl_1,,,,
HW2015_Ratio H/L normalized Exp2,,,,
HS2024_3_I_N1,,,0.7238108962154006,0.8108044199092498
AH2018_SILAC_M_3_X,,,,
NJH2024_Sub9_HIIT_Post,,,,
AS2011_Ratio H/L RNAi_1_3,,,,
GRW2016_Ratio H/L normalized SILAC 1___2,,,,
NJH2025_Sub1_HIIT_Pre,,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,,,,
NJH2024_Sub4_HIIT_Mid,,,,
VOI2024_0.1uM 2 h_1 di,,,,
KBE2022_Log2_Ex_6_T,,,,
RM2024_Intensity D4-3___1,,,,
AH2018_LFQ_4_X,,,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,,,
RB2022_8_PostEndurance,,,,
NJH2025_Sub4_MICT_Mid,,,,
YP2020_Intensity C30_R1_mult_log2,,,,
AST2020_anti-CD3.1,0.4425728931586198,,,0.5470402119648098
NJH2025_Sub4_HIIT_Post,,,,
EP2017_Untreated R#4 log2 ratio,,,0.5285459949391486,
HS2024_6_B_N1,,,0.711606580775309,0.5473834273244628
KBE2022_Log2_Ex_27_T,,,,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,,,
VOI2024_0.1uM 24 h_1 mono,,,,
AMK2021_120R_p5,,,,
AS2011_Ratio H/L Proteins,,,,
NJH2024_Sub7_HIIT_Post,,,,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,,,
AS2011_Ratio H/L RNAi_2_2,,,,
RB2022_7_RecoveryStrength,,,,
AH2018_SILAC_IT_3_X,,,,
JAW2011_Ratio H/L,,,,
PG2020_Intensity 10h_C,,,,
FSO2013_Ratio M/L normalized Rep2,,0.5161435371268717,,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,,,
HH2022_Reporter intensity 5,,,,
SR2019_HCC1954_Biol_repl_2,,,,
CK2022_14 40-1,,,,
RB2022_6_PreSprint,,,,
NJH2025_Sub12_MICT_Mid,,,,
PG2020_Intensity 4h_D,,,,
NJH2025_Sub2_MICT_Post,,,,
AH2018_LFQ_4_C,,,,
DL2023_control-1,,,,0.557368590681421
AR2021_ALG 10 μM,0.5587270287804993,,,0.5728437059587469
JAW2011_Ratio H/L LS2_2,,,,
AH2018_SILAC_IT_3_N,,,,
EJN2021_4_Rest_Ins,,,,
RN2012_H05,,,0.5740641376049289,
NJH2024_Sub7_HIIT_Mid,,,,
GF2025_P2_Adh,,,0.4392938506136616,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,,,
RB2022_8_PostSprint,,,,
EJN2021_1_Rest_Ins,,,,
HH2022_Reporter intensity 3,,0.5351090485194506,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,,,
AH2018_SILAC_IT_1_C,,,,
JW2021_After_3,,,,
GF2025_P8_Sph,0.4663183960095813,,0.4644573693212717,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,,,
JJ2018_Ratio M/L normalized pP2___1,,,,
AH2018_SILAC_2_N,,,,
CK2022_11 200-1,,,0.5417089255118521,
CK2022_12 200-1,,,0.5453289079109315,
AS2011_Ratio H/L Normalized by Protein RNAi_1,,,,
RM2024_Intensity D2-1___3,,,,
NJH2024_Sub1_MICT_Pre,,,,
HH2022_Reporter intensity 9,,0.5018949176813748,,
WZ2023_Su_010_20min,0.4864767490614406,0.520257311311554,,
AH2018_TMTMS2_2_N,,,,0.6754305433355139
NJH2024_Sub13_MICT_Pre,,,,
KBE2022_Log2_Ex_41_U,,,,
NJH2015_TMT Subject 3 129_N/128_C (Exercise/Basal) (normalized),,,,
AH2018_TMTMS3_Pool,0.3276155890078426,,,0.5397124778507801
KS2014_Intensity N4,,,,
NJH2024_Sub1_HIIT_Post,,,,
MM2018_Ratio H/L replicate2,,,,
RM2024_Intensity D4-2___2,,,,
NJH2024_Sub13_HIIT_Pre,,,,
CF2017_OSE 26,0.4882074329820474,,,
CK2022_14 200-1,,,0.5431040540574611,
SR2019_Hs578T_Biol_repl_1,,,,
RB2022_7_PostSprint,,,,
TM2022_mock.4h.A,,,,
NJH2025_Sub12_HIIT_Pre,,,,
AH2018_TMTMS3_1_N,0.3550223108915375,,,0.5028797502808748
AST2020_anti-CD3+PDL2.2,0.4330794035296336,,,0.539266901686857
PG2020_Intensity Mock_10h_A,,,,
JW2021_After_2,,,,
NJH2024_Sub2_MICT_Post,,,,
EJN2021_2_Rest_Ins,,,,
SR2019_LM2_Biol_repl_4,,,,
CP2009_Ratio H/M,,,,
JAW2011_Ratio H/L HS,,,,
CK2022_13 16-1,,,,
GF2025_P1_Adh,,,0.44370021242629826,
GF2025_P1_Sph,,,0.4827726960240809,
EJN2021_5_Ex_Basal,,,,
HS2024_7_I_T3,,,0.530349575620861,
JJ2018_Ratio H/L normalized pP2___2,,,,
WZ2023_Pe_010_10min,0.46828933914709714,0.5236401624351443,,
CF2017_EOC 1,,,,
CK2022_3 200-1,,,0.5209305898924984,
AH2018_LFQ_IT_3_C,,,,
SR2019_Hs578T_Biol_repl_2,,,,
NJH2024_Sub12_HIIT_Post,,,,
JJ2018_Ratio H/L normalized pP1___2,,,,
MV2014_Ratio H/L normalized A1___2 (10 min),,,,
NJH2024_Sub10_MICT_Mid,,,,
NJH2024_Sub13_MICT_Post,,,,
BS2014_Log2(Ratio H/L normalized Rep_1),0.4043514172932876,,0.5386311615334471,
RB2022_3_RecoverySprint,,,,
NJH2025_Sub1_HIIT_Mid,,,,
RCJD2014_20min_2,0.7000429171962864,,,0.6514479466817854
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2,,,,
HS2024_6_PD_T2,,,0.5679073789821559,0.48584038963770243
HS2024_5_B_T1,,,0.5728488831667565,
CW2012_10 µM Gef/control Experiment 2 Replicate A,,,,
DL2023_12h-3,,,,0.574026205859302
SR2019_MDAMB231_Biol_repl_2,,,,
HS2024_3_B_T2,,,0.6552970600242111,0.4640130002160499
RB2022_6_PreStrength,,,,
CK2022_2 40-1,,,,
RB2022_1_PostSprint,,,,
CK2022_4 200-1,,,0.5194165901987489,
JW2021_Before_2,,,,
TM2022_S2.12h.A,,,,
MV2014_Ratio L/M normalized B2___2 (30 min),,,,
CK2022_5 16-1,,,,
AR2021_ALG 1 μM,0.5575755281539113,,,0.6096527174628269
HS2024_4_B_T1,0.5294508104424412,,0.5905314928271016,
MV2014_Ratio M/H normalized A3___1 (10 min),,,,
SR2019_BT549_Biol_repl_4,,,,
EJN2021_1_Rest_Basal,,,,
NJH2025_Sub8_MICT_Post,,,,
RCJD2014_5min_3,0.4542683587590463,,,0.6453904522194013
CR2017_Ratio Replicate 3.2,,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as3a,,,,
GF2025_P7_Adh,0.7151806664476814,,0.4928797014405887,
CK2022_9 16-1,,,,
NJH2024_Sub6_HIIT_Post,,,,
AMK2021_30R_p3,,,,
AS2011_Ratio H/L Normalized RNAi_2,,,,
RM2024_Intensity D0-2___2,,,,
KS2014_Intensity pY_N4,,,,
CK2022_13 200-1,,,0.5424718580432046,
AS2011_Ratio H/L Normalized_2,,,,
PG2020_Intensity 6h_D,,,,
CK2022_16 16-1,,,,
FS2019_db/db3,,,,
CK2022_15 40-1,,,,
NJH2024_Sub9_MICT_Pre,,,,
