Prefix,ModeClusters,RandomSeed:655,RandomSeed:115,RandomSeed:26,RandomSeed:760,RandomSeed:282,RandomSeed:251,RandomSeed:229,RandomSeed:143,RandomSeed:755,RandomSeed:105,RandomSeed:693,RandomSeed:759,RandomSeed:914,RandomSeed:559,RandomSeed:90,RandomSeed:605,RandomSeed:433,RandomSeed:33,RandomSeed:31,RandomSeed:96,RandomSeed:224,RandomSeed:239,RandomSeed:518,RandomSeed:617,RandomSeed:28,RandomSeed:575,RandomSeed:204,RandomSeed:734,RandomSeed:666,RandomSeed:719,RandomSeed:986,RandomSeed:430,RandomSeed:226,RandomSeed:460,RandomSeed:604,RandomSeed:285,RandomSeed:829,RandomSeed:891,RandomSeed:7,RandomSeed:778,RandomSeed:826,RandomSeed:164,RandomSeed:715,RandomSeed:983,RandomSeed:349,RandomSeed:964,RandomSeed:160,RandomSeed:221,RandomSeed:782,RandomSeed:345,RandomSeed:990,RandomSeed:95,RandomSeed:390,RandomSeed:100,RandomSeed:368,RandomSeed:868,RandomSeed:353,RandomSeed:619,RandomSeed:271,RandomSeed:827,RandomSeed:45,RandomSeed:748,RandomSeed:471,RandomSeed:550,RandomSeed:128,RandomSeed:388,RandomSeed:81,RandomSeed:566,RandomSeed:301,RandomSeed:850,RandomSeed:644,RandomSeed:634,RandomSeed:907,RandomSeed:883,RandomSeed:371,RandomSeed:592,RandomSeed:197,RandomSeed:722,RandomSeed:72,RandomSeed:47,RandomSeed:678,RandomSeed:234,RandomSeed:792,RandomSeed:297,RandomSeed:82,RandomSeed:876,RandomSeed:978,RandomSeed:888,RandomSeed:104,RandomSeed:947,RandomSeed:954,RandomSeed:465,RandomSeed:651,RandomSeed:855,RandomSeed:374,RandomSeed:167,RandomSeed:380,RandomSeed:364,RandomSeed:215,RandomSeed:687
NDUFAF2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
RPAP2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DBF4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FAM114A1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MFSD14B,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
F11R,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
LPIN3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2
TOP2A,2,2,2,2,2,2,2,2,3,4,4,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,4,3,2,4,2,2,4,3,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,3,2,2,2,4,2,3
STX6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CWC27,2,3,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2,2,2,2,3,3,2,3,3,2,2,3,2,3,3,3,2,2,2,2,3,2,2,2,3,3,3,2,3,3,2,3
