PredictiveFeature,TargetFeature,SHAPValue
AHNAK2,AKAP10,0.0051943672461811
KMT2D,AKAP10,0.0090602012678163
PLEKHA6,AKAP10,0.0404001991375448
IRS2,AKAP10,0.0098749903188117
NIPBL,AKAP10,0.0101757523808854
NUMA1,AKAP10,0.0086379878444021
NHSL3,AKAP10,0.0177068472214634
RIF1,AKAP10,0.0061189408953117
TRIM28,AKAP10,0.0048640208704791
MAP1S,AKAP10,0.0259680212241545
PLEKHA5,AKAP10,0.004921361810224
MAP1S,RBM4,0.0028748459901045
GPATCH8,RBM4,0.0041217983965272
BAG3,RBM4,0.0064229695396403
EIF4B,RBM4,0.0204314579089173
PCBP2,RBM4,0.0040928482738763
BRD8,RBM4,0.023809346589032
RTN4,RBM4,0.0202038012831554
RANBP3,RBM4,0.0182130043732435
MDC1,RBM4,0.0082987164813394
LMO7,SAP130,0.0153624656603469
ABLIM1,SAP130,0.0011212290277469
NACA,SAP130,0.000972529586146
TCOF1,SAP130,0.0144514030983282
NCOR1,SAP130,0.002746943385956
NELFE,SAP130,0.0006233539357152
NES,SAP130,0.003755559057212
PLEKHA6,SAP130,0.0030375442127546
HUWE1,SAP130,0.0124364544937593
GPATCH8,CLSPN,0.0051206568872566
MDC1,CLSPN,0.0041025934842385
KMT2D,CLSPN,0.031526497096082
CLASP1,CLSPN,0.0075590723128418
NIPBL,CLSPN,0.0033748259106786
ATXN2L,CLSPN,0.0029185976208786
NUMA1,CLSPN,0.0024267171155459
ABLIM1,CLSPN,0.0425424173686418
FARP1,CLSPN,0.0095725446274659
NCL,MAST2,0.0106853613965849
SASH1,MAST2,0.01028765705761
SYNPO,MAST2,0.0714443779581917
SVIL,MAST2,0.0163950415651651
CAST,MAST2,0.0098774406971379
PLEKHA6,MAST2,0.0212947476740608
SCAF11,MAST2,0.0268206259649763
EIF3A,MAST2,0.0048739388608174
BCOR,MAST2,0.0151026323584397
EIF4G1,TOM1L1,0.0537158912683735
NHSL3,TOM1L1,0.0014870905444603
TP53BP1,TOM1L1,0.0160183596467182
FARP1,TOM1L1,0.0101403547760843
TNS1,TOM1L1,0.0113665253619145
MARK2,TOM1L1,0.0025926134411489
AFDN,TOM1L1,0.0041585390606126
CUX1,TOM1L1,0.0048866361430752
PPIG,TOM1L1,0.0044869582307292
PLEC,ADAM9,0.0088968284045114
SRRM2,ADAM9,0.0071553073040099
NCOR2,ADAM9,0.0042609595870769
IRS2,ADAM9,0.0066805562195565
PLEKHA6,ADAM9,0.0297452383359906
NUMA1,ADAM9,0.0043740889341781
NHSL3,ADAM9,0.020177571577767
CLSPN,ADAM9,0.0042876391946646
SRGAP1,ADAM9,0.0201701536576119
SPEN,NSMCE3,0.0030192215759952
MDC1,NSMCE3,0.0108753010208102
CLASP1,NSMCE3,0.0143473628412286
PLEKHA6,NSMCE3,0.023311526934594
IRS2,NSMCE3,0.0240372298933692
NIPBL,NSMCE3,0.0065289553279072
ABLIM1,NSMCE3,0.0020766357767789
SRRM2,NSMCE3,0.001108777717759
PHRF1,NSMCE3,0.026806444523508
STRIP1,ELFN1,0.0016056849539798
NEB,ELFN1,0.0064034253313333
RBM23,ELFN1,0.0015078449887398
XIRP1,ELFN1,0.0171029154365034
ATP2A2,ELFN1,0.0063065453397979
PRKAR1A,ELFN1,0.0073520145577629
MAP1S,SORBS3,0.0032034392714583
BAG3,SORBS3,0.0066801197839417
EIF4B,SORBS3,0.0417407781262693
CAMK2B,SORBS3,0.0011778617324234
USP24,SORBS3,0.0086322273780192
APC,SORBS3,0.011689909249527
PCBP2,SORBS3,0.0031331369111969
NCL,SORBS3,0.0061622831791329
SCAF11,SORBS3,0.0210468714378044
GPATCH8,TALDO1,0.0125395873769411
PLEC,TALDO1,0.0093519572057015
NCOR2,TALDO1,0.0081783983317605
IRS2,TALDO1,0.005677201158589
PLEKHA6,TALDO1,0.0320252740723216
CDC42BPA,TALDO1,0.0033050147872746
PCBP1,TALDO1,0.0062379483730615
MAP4,TALDO1,0.0275231123602123
SSH1,TALDO1,0.0175892917814295
NEB,OSBPL5,0.0021821292452754
LMO7,OSBPL5,-0.0051866908239954
SPEN,OSBPL5,-0.0019704839865967
GPATCH8,OSBPL5,-0.0096418199088818
ABLIM1,OSBPL5,-0.0105098878083136
BAG3,OSBPL5,-0.0118763926592652
MAP1S,OSBPL5,-0.0479421042198629
EIF4B,OSBPL5,-0.012018235788353
AHNAK2,OSBPL5,-0.0029438702411917
PRRC2A,OSBPL5,-0.0037543759262683
KMT2D,ZNF330,0.0042540606167751
SPEN,ZNF330,0.0024749783377907
TLK2,ZNF330,0.0032457787382225
PHF3,ZNF330,0.0117513766084913
LRRFIP2,ZNF330,0.0600437569169862
USP10,ZNF330,0.0323313792149492
PRRC2C,ZNF330,0.0081103554143112
PLEKHA6,ZNF330,0.0357393867597191
RBMX,ZNF330,0.0027299727193336
GRIP1,ZNF330,0.002345236097611
NACA,ELL,0.0044576154192228
CLASP1,ELL,0.0167499239418705
KMT2D,ELL,0.0165822164879087
SRRM2,ELL,0.0020276900697021
PRRC2A,ELL,0.0102476385591018
MDC1,ELL,0.0063428659573746
TJP1,ELL,0.0143778517183782
IRS2,ELL,0.035975008487302
TCOF1,MIDEAS,0.0145852759490399
KMT2D,MIDEAS,0.0095854876657265
CLASP1,MIDEAS,0.0058257974054284
PLEKHA6,MIDEAS,0.0055556573978528
IRS2,MIDEAS,0.0061336034476196
NUMA1,MIDEAS,0.0151373020576091
MAP1S,MIDEAS,0.0117166499842677
NCL,MIDEAS,0.1070374166689569
USP24,MIDEAS,0.0268581305332076
MDC1,HJURP,0.0153133020025922
KMT2D,HJURP,0.0328580423736099
PLEKHA6,HJURP,0.022309026237196
ATXN2L,HJURP,0.0185075719003032
NCOR2,HJURP,0.0124040931310717
FARP1,HJURP,0.007262248584133
BAG3,HJURP,0.004365884012071
ABLIM1,HJURP,0.0197845392685381
RIF1,HJURP,0.0052988539819464
PHRF1,HJURP,0.0112898132154245
RASAL3,FLNC,0.0027346694615304
WASHC2A,FLNC,0.0101275899849806
EIF4B,FLNC,0.0032212150661587
BAG3,FLNC,0.0061453060738649
CHGB,FLNC,0.0013436907734998
PARN,FLNC,0.0029179317882708
NCL,FLNC,0.0039019354613613
SYNPO,FLNC,0.0409829433447484
XIRP1,FLNC,0.0193982509198924
LMO7,MYO9A,0.0044300396708998
TCOF1,MYO9A,0.0066491246356797
AHNAK2,MYO9A,0.0142865641905129
SRRM2,MYO9A,0.0052677901991015
KMT2D,MYO9A,0.0383420282777092
CLASP1,MYO9A,0.0054349480396132
PLEC,MYO9A,0.0045090945424815
NEB,BAZ1A,0.0063644169044956
BRD8,BAZ1A,0.0197406075000445
TBX2,BAZ1A,0.0026045167588814
ABLIM1,BAZ1A,0.025938378521096
HRC,BAZ1A,0.0015862604164765
TCOF1,OTUD5,0.0049802614495828
MDC1,OTUD5,0.0046791089786358
KMT2D,OTUD5,0.0159848079504166
BAG3,OTUD5,0.0058961645071785
NUMA1,OTUD5,0.0428138451025451
NIPBL,OTUD5,0.0102021410068554
ABLIM1,OTUD5,0.0047462972999707
MAP1S,OTUD5,0.0196464366349353
NCL,OTUD5,0.0264958038824006
NCOR1,BRF1,0.0148261816777601
DPYSL2,BRF1,0.0049851286440378
ADAR,BRF1,0.0069834867344808
CLASP1,BRF1,0.0096309275948896
PRRC2A,BRF1,0.00361346026678
