PredictiveFeature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
GAB1,ABCF1,9.06638320932037,0.0829146584257362,0.7214631603275683,0.0252613343300888,0.0598198715053125
GAB1,ACIN1,2.3516984632967968,0.1767008253860565,0.7198714237056768,0.0209058820046915,0.1272018747406287
GAB1,ACLY,2.037394636701331,-0.013402559975623,0.422694526229708,0.041803535987749,-0.0056651887391612
GAB1,AFF4,2.196942794048055,-0.0023961831863061,0.5912374346045327,0.0299577776144733,-0.0014167131999141
GAB1,AHNAK,1.4337420757038877,0.0323536261335598,0.6044776613237637,0.0142038046710979,0.0195570442605576
GAB1,AKT1S1,2.254810324540117,0.1879619870447698,0.7061777368603276,0.0215896891129948,0.1327345706270458
GAB1,ANKS1A,2.432398924925991,0.0128465368176801,0.6693967436639431,0.0248964744678206,0.008599429913114
ABLIM1,ARAF,2.4390753883484657,0.0414185008349286,0.6659420508175617,0.0233941963388148,0.0275823213878012
AHCTF1,ARAF,2.9933567815779325,-0.2682191169879623,0.6659420508175617,0.0233941963388148,-0.1786183888354391
AHNAK2,ARAF,5.986511147780051,0.0218989557227527,0.6659420508175617,0.0233941963388148,0.0145834354847729
ARHGEF2,ARAF,1.9011362494322075,-0.0804069301041055,0.6659420508175617,0.0233941963388148,-0.0535463559334723
ASXL2,ARAF,2.472854718460615,0.0012501777120825,0.6659420508175617,0.0233941963388148,0.0008325459094706
ATG9A,ARAF,1.8970569607543508,0.0933073412519541,0.6659420508175617,0.0233941963388148,0.0621372821896604
ATXN2L,ARAF,3.60322059864078,0.0461015526461397,0.6659420508175617,0.0233941963388148,0.030700962515044
BAG3,ARAF,2.731255655760097,0.0526063207508254,0.6659420508175617,0.0233941963388148,0.0350327611267711
BRD8,ARAF,1.8420139045128108,-0.2076866339031171,0.6659420508175617,0.0233941963388148,-0.138307262908838
CALD1,ARAF,1.8018315033063343,-0.0366669323404713,0.6659420508175617,0.0233941963388148,-0.0244180521200022
CDC42BPA,ARAF,3.1629221431477843,0.000310741417169,0.6659420508175617,0.0233941963388148,0.0002069357766235
CHD4,ARAF,1.8753391039391607,0.0080774882798338,0.6659420508175617,0.0233941963388148,0.0053791391105273
CLASP1,ARAF,4.166872812302437,0.1787269065066942,0.6659420508175617,0.0233941963388148,0.1190217626553466
DPYSL2,ARAF,1.8933237452867804,0.2745269787366562,0.6659420508175617,0.0233941963388148,0.182819059224638
EIF4B,ARAF,2.4330220892010845,0.0059394632230619,0.6659420508175617,0.0233941963388148,0.0039553383195213
EIF4B,ARAF,2.6716493161075783,0.2375821507046655,0.6659420508175617,0.0233941963388148,0.1582159446779119
EIF4G1,ARAF,1.9490599928256072,0.2768506822276995,0.6659420508175617,0.0233941963388148,0.1843665110929553
FHOD1,ARAF,1.768291639129746,0.2917316529225437,0.6659420508175617,0.0233941963388148,0.1942763752356359
GPATCH8,ARAF,4.971283340161904,-0.3938683136032667,0.6659420508175617,0.0233941963388148,-0.262293472513014
HDGFL2,ARAF,2.061612993924632,-0.0850181269285797,0.6659420508175617,0.0233941963388148,-0.0566171458034861
HUWE1,ARAF,7.201542417018096,0.2172095680944414,0.6659420508175617,0.0233941963388148,0.1446489852340091
IRS2,ARAF,3.7347759913951113,0.1168891217947076,0.6659420508175617,0.0233941963388148,0.0778413814862313
KMT2D,ARAF,4.214055029826173,0.1641396245682674,0.6659420508175617,0.0233941963388148,0.1093074782054166
LMNA,ARAF,2.208773249412288,-0.0631867592482844,0.6659420508175617,0.0233941963388148,-0.0420787200383181
LMO7,ARAF,9.467973902204546,-0.0007450324320291,0.6659420508175617,0.0233941963388148,-0.000496148425711
MAP1S,ARAF,2.3783167219076526,-0.008299018071716,0.6659420508175617,0.0233941963388148,-0.0055266651144505
MAP4,ARAF,2.536324767752237,-0.0304727362609661,0.6659420508175617,0.0233941963388148,-0.0202930764796505
MAST4,ARAF,2.3746622576264254,0.0689512775349917,0.6659420508175617,0.0233941963388148,0.0459175551681432
MDC1,ARAF,4.532498015299361,0.0255230269443192,0.6659420508175617,0.0233941963388148,0.0169968569063718
MIA2,ARAF,2.0855917309881806,0.2933971296847575,0.6659420508175617,0.0233941963388148,0.1953854862462535
MYH3,ARAF,2.6347876195994875,-0.1445469421649201,0.6659420508175617,0.0233941963388148,-0.0962598871047144
MYO9B,ARAF,1.9551453025618848,0.1470825256458638,0.6659420508175617,0.0233941963388148,0.0979484387680331
NCL,ARAF,2.1301485019689905,0.1455563255784021,0.6659420508175617,0.0233941963388148,0.0969320779651498
NCOR2,ARAF,3.876730195671498,-0.0074441699757258,0.6659420508175617,0.0233941963388148,-0.0049573858202693
NES,ARAF,2.826624415569936,0.0451058413010879,0.6659420508175617,0.0233941963388148,0.030037876459898
NHSL3,ARAF,2.9600086071429588,0.029119927652745,0.6659420508175617,0.0233941963388148,0.0193921843407281
NUMA1,ARAF,3.642218144123811,0.0196366143150327,0.6659420508175617,0.0233941963388148,0.0130768472080664
NUP214,ARAF,2.9620562161624453,-0.2303268619568478,0.6659420508175617,0.0233941963388148,-0.1533843428099166
PCBP1,ARAF,2.6630114249907546,0.0176520011289236,0.6659420508175617,0.0233941963388148,0.0117552098328293
PCBP2,ARAF,2.0370347756692504,-0.0962415294789147,0.6659420508175617,0.0233941963388148,-0.0640912815150072
PHLDB1,ARAF,2.647906841319995,-0.0516339618675569,0.6659420508175617,0.0233941963388148,-0.0343852264579166
PHRF1,ARAF,2.8278418033911263,0.2592081907626339,0.6659420508175617,0.0233941963388148,0.1726176341451782
PLEC,ARAF,4.1963418731294535,0.0811745311798565,0.6659420508175617,0.0233941963388148,0.0540575337680678
PLEKHA5,ARAF,2.499841812235021,0.3474587962761424,0.6659420508175617,0.0233941963388148,0.2313874233667357
PPIG,ARAF,2.220926307614666,0.0580913406368109,0.6659420508175617,0.0233941963388148,0.0386854665184194
PPIG,ARAF,1.966080866237068,-0.0909300324382993,0.6659420508175617,0.0233941963388148,-0.0605541322828684
PRRC2A,ARAF,4.933345813422016,0.001536059660181,0.6659420508175617,0.0233941963388148,0.001022926720279
PRRC2C,ARAF,4.289724455936581,-0.0097171619261885,0.6659420508175617,0.0233941963388148,-0.0064710667412523
