Feature,TargetFeature,SHAPValue,LogSHAPValue
AHNAK2,AKAP10,0.0051943672461811,-5.260180462391853
KMT2D,AKAP10,0.0090602012678163,-4.703863944183237
PLEKHA6,AKAP10,0.0404001991375448,-3.2089205648800325
IRS2,AKAP10,0.0098749903188117,-4.617749948568931
NIPBL,AKAP10,0.0101757523808854,-4.587747606319845
NUMA1,AKAP10,0.0086379878444021,-4.751585611668269
NHSL3,AKAP10,0.0177068472214634,-4.03380386553876
RIF1,AKAP10,0.0061189408953117,-5.096366253755493
TRIM28,AKAP10,0.0048640208704791,-5.3258898435217406
MAP1S,AKAP10,0.0259680212241545,-3.650889450890669
PLEKHA5,AKAP10,0.004921361810224,-5.314169996081463
MAP1S,RBM4,0.0028748459901045,-5.8517561748269795
GPATCH8,RBM4,0.0041217983965272,-5.491465706849407
BAG3,RBM4,0.0064229695396403,-5.047874723105972
EIF4B,RBM4,0.0204314579089173,-3.8906795115182096
PCBP2,RBM4,0.0040928482738763,-5.498514151820268
BRD8,RBM4,0.023809346589032,-3.7376770615717256
RTN4,RBM4,0.0202038012831554,-3.901884509944627
RANBP3,RBM4,0.0182130043732435,-4.005619414049167
MDC1,RBM4,0.0082987164813394,-4.7916544169401885
LMO7,SAP130,0.0153624656603469,-4.175828039383164
ABLIM1,SAP130,0.0011212290277469,-6.7933298491167875
NACA,SAP130,0.000972529586146,-6.935610060162199
TCOF1,SAP130,0.0144514030983282,-4.236963768907293
NCOR1,SAP130,0.002746943385956,-5.897266481489458
NELFE,SAP130,0.0006233539357152,-7.380396085380436
NES,SAP130,0.003755559057212,-5.584518121436091
PLEKHA6,SAP130,0.0030375442127546,-5.796705914782028
HUWE1,SAP130,0.0124364544937593,-4.387123240834006
GPATCH8,CLSPN,0.0051206568872566,-5.274472549867938
MDC1,CLSPN,0.0041025934842385,-5.496135948120467
KMT2D,CLSPN,0.031526497096082,-3.4569269090888004
CLASP1,CLSPN,0.0075590723128418,-4.885006806261737
NIPBL,CLSPN,0.0033748259106786,-5.691411538009198
ATXN2L,CLSPN,0.0029185976208786,-5.8366520448893935
NUMA1,CLSPN,0.0024267171155459,-6.021215916284437
ABLIM1,CLSPN,0.0425424173686418,-3.1572536450454955
FARP1,CLSPN,0.0095725446274659,-4.648856212574499
NCL,MAST2,0.0106853613965849,-4.5388805679861015
SASH1,MAST2,0.01028765705761,-4.576810446256117
SYNPO,MAST2,0.0714443779581917,-2.6388360626819085
SVIL,MAST2,0.0163950415651651,-4.110776333454515
CAST,MAST2,0.0098774406971379,-4.617501839529917
PLEKHA6,MAST2,0.0212947476740608,-3.8492948247468584
SCAF11,MAST2,0.0268206259649763,-3.618584061916391
EIF3A,MAST2,0.0048739388608174,-5.323852867801705
BCOR,MAST2,0.0151026323584397,-4.192886221981194
EIF4G1,TOM1L1,0.0537158912683735,-2.924046394459659
NHSL3,TOM1L1,0.0014870905444603,-6.51093372266501
TP53BP1,TOM1L1,0.0160183596467182,-4.13401973667206
FARP1,TOM1L1,0.0101403547760843,-4.591232293651641
TNS1,TOM1L1,0.0113665253619145,-4.47708261494117
MARK2,TOM1L1,0.0025926134411489,-5.9550888613834365
AFDN,TOM1L1,0.0041585390606126,-5.482591453742425
CUX1,TOM1L1,0.0048866361430752,-5.321251117512368
PPIG,TOM1L1,0.0044869582307292,-5.406580260984327
PLEC,ADAM9,0.0088968284045114,-4.722060424798679
SRRM2,ADAM9,0.0071553073040099,-4.939900917348872
NCOR2,ADAM9,0.0042609595870769,-5.4582608888846265
IRS2,ADAM9,0.0066805562195565,-5.008554028499363
PLEKHA6,ADAM9,0.0297452383359906,-3.515086215733905
NUMA1,ADAM9,0.0043740889341781,-5.432057024474706
NHSL3,ADAM9,0.020177571577767,-3.9031836093669092
CLSPN,ADAM9,0.0042876391946646,-5.452019001789168
SRGAP1,ADAM9,0.0201701536576119,-3.903551308918515
SPEN,NSMCE3,0.0030192215759952,-5.8027562371132015
MDC1,NSMCE3,0.0108753010208102,-4.521261022315974
CLASP1,NSMCE3,0.0143473628412286,-4.244189127795453
PLEKHA6,NSMCE3,0.023311526934594,-3.7588073225202785
IRS2,NSMCE3,0.0240372298933692,-3.72815140501569
NIPBL,NSMCE3,0.0065289553279072,-5.031508328904402
ABLIM1,NSMCE3,0.0020766357767789,-6.177006109706828
SRRM2,NSMCE3,0.001108777717759,-6.804497025546756
PHRF1,NSMCE3,0.026806444523508,-3.6191129530778774
STRIP1,ELFN1,0.0016056849539798,-6.434204850833181
NEB,ELFN1,0.0064034253313333,-5.050922223768413
RBM23,ELFN1,0.0015078449887398,-6.49707380729276
XIRP1,ELFN1,0.0171029154365034,-4.068506336643092
ATP2A2,ELFN1,0.0063065453397979,-5.066167242087162
PRKAR1A,ELFN1,0.0073520145577629,-4.9127809138215035
MAP1S,SORBS3,0.0032034392714583,-5.743530274000016
BAG3,SORBS3,0.0066801197839417,-5.008619359866555
EIF4B,SORBS3,0.0417407781262693,-3.1762767352866907
CAMK2B,SORBS3,0.0011778617324234,-6.744054575494511
USP24,SORBS3,0.0086322273780192,-4.752252710082775
APC,SORBS3,0.011689909249527,-4.449029266614093
PCBP2,SORBS3,0.0031331369111969,-5.765720568255141
NCL,SORBS3,0.0061622831791329,-5.089307924145823
SCAF11,SORBS3,0.0210468714378044,-3.8610033551820298
GPATCH8,TALDO1,0.0125395873769411,-4.3788646488688805
PLEC,TALDO1,0.0093519572057015,-4.672169630774347
NCOR2,TALDO1,0.0081783983317605,-4.806258950502649
IRS2,TALDO1,0.005677201158589,-5.1712969214616535
PLEKHA6,TALDO1,0.0320252740723216,-3.4412298731619044
CDC42BPA,TALDO1,0.0033050147872746,-5.712314331475304
PCBP1,TALDO1,0.0062379483730615,-5.0771039370312385
MAP4,TALDO1,0.0275231123602123,-3.5927291778272346
SSH1,TALDO1,0.0175892917814295,-4.040464983611194
NEB,OSBPL5,0.0021821292452754,-6.12745416084358
LMO7,OSBPL5,-0.0051866908239954,
SPEN,OSBPL5,-0.0019704839865967,
GPATCH8,OSBPL5,-0.0096418199088818,
ABLIM1,OSBPL5,-0.0105098878083136,
BAG3,OSBPL5,-0.0118763926592652,
MAP1S,OSBPL5,-0.0479421042198629,
EIF4B,OSBPL5,-0.012018235788353,
AHNAK2,OSBPL5,-0.0029438702411917,
PRRC2A,OSBPL5,-0.0037543759262683,
KMT2D,ZNF330,0.0042540606167751,-5.4598813129461625
SPEN,ZNF330,0.0024749783377907,-6.001523635407584
TLK2,ZNF330,0.0032457787382225,-5.730399976654659
PHF3,ZNF330,0.0117513766084913,-4.443784887084979
LRRFIP2,ZNF330,0.0600437569169862,-2.8126817006071283
USP10,ZNF330,0.0323313792149492,-3.4317170276242877
PRRC2C,ZNF330,0.0081103554143112,-4.814613587609001
PLEKHA6,ZNF330,0.0357393867597191,-3.331501927771898
RBMX,ZNF330,0.0027299727193336,-5.9034636627532935
GRIP1,ZNF330,0.002345236097611,-6.055369200867906
NACA,ELL,0.0044576154192228,-5.413141315298535
CLASP1,ELL,0.0167499239418705,-4.089361561505221
