phosphosite_ID,Intensity,Intensity D0-1,Intensity D0-2,Intensity D0-3,Intensity D2-1,Intensity D2-2,Intensity D2-3,Intensity D4-1,Intensity D4-2,Intensity D4-3,Intensity D6-1,Intensity D6-2,Intensity D6-3,Intensity D0-1___1,Intensity D0-1___2,Intensity D0-1___3,Intensity D0-2___1,Intensity D0-2___2,Intensity D0-2___3,Intensity D0-3___1,Intensity D0-3___2,Intensity D0-3___3,Intensity D2-1___1,Intensity D2-1___2,Intensity D2-1___3,Intensity D2-2___1,Intensity D2-2___2,Intensity D2-2___3,Intensity D2-3___1,Intensity D2-3___2,Intensity D2-3___3,Intensity D4-1___1,Intensity D4-1___2,Intensity D4-1___3,Intensity D4-2___1,Intensity D4-2___2,Intensity D4-2___3,Intensity D4-3___1,Intensity D4-3___2,Intensity D4-3___3,Intensity D6-1___1,Intensity D6-1___2,Intensity D6-1___3,Intensity D6-2___1,Intensity D6-2___2,Intensity D6-2___3,Intensity D6-3___1,Intensity D6-3___2,Intensity D6-3___3
AATF_S(203),29.962235705571114,22.877419697392803,23.733141138787772,23.810588108210233,26.4977139626001,25.744862367896452,25.903732750975834,25.644769472483162,25.632230223476917,25.87431764015306,25.74645219942727,25.8199708879747,24.966180478283253,22.877419697392803,,,23.733141138787772,,,23.810588108210233,,,26.4977139626001,,,25.744862367896452,,,25.903732750975834,,,25.644769472483162,,,25.632230223476917,,,25.87431764015306,,,25.74645219942727,,,25.8199708879747,,,24.966180478283253,,
AATF_S(316),30.205597218379975,24.41254452185369,,24.285950201437494,,27.957538619032825,27.29316149309638,27.395583293829063,,,,,27.098284014290595,,,24.41254452185369,,,,,,24.285950201437494,,,,,26.141879498699957,27.47545105806375,,,27.29316149309638,,,27.395583293829063,,,,,,,,,,,,,,,27.098284014290595
AATF_S(320),30.854821763693586,24.41254452185369,23.426496136803298,24.91374077156664,,27.802426433687938,27.650272674999066,27.732985935190086,25.315756558681663,,25.590322746145404,25.816532734032954,27.395501580196413,,,24.41254452185369,,23.426496136803298,,,23.41079913053051,24.285950201437494,,,,,25.500543105380718,27.47545105806375,,25.461108443986365,27.29316149309638,,25.47128573496703,27.395583293829063,,25.315756558681663,,,,,,25.590322746145404,,,25.816532734032954,,,24.970136441814915,27.098284014290595
AATF_S(321),30.854821763693586,24.41254452185369,23.426496136803298,24.91374077156664,,27.802426433687938,27.650272674999066,27.732985935190086,25.315756558681663,,25.590322746145404,25.816532734032954,27.395501580196413,,,24.41254452185369,,23.426496136803298,,,23.41079913053051,24.285950201437494,,,,,25.500543105380718,27.47545105806375,,25.461108443986365,27.29316149309638,,25.47128573496703,27.395583293829063,,25.315756558681663,,,,,,25.590322746145404,,,25.816532734032954,,,24.970136441814915,27.098284014290595
AATF_T(310),29.62303294274101,,,,,27.108589380014283,,25.966356529418757,26.114876423087946,26.282490076091086,26.72403352930412,,26.252486424057594,,,,,,,,,,,,,,26.141879498699957,26.074492496938525,,,,,25.966356529418757,,,,26.114876423087946,,,26.282490076091086,,,26.72403352930412,,,,,,26.252486424057594
ACLY_S(481),29.87758293290338,24.04218237482507,24.265779273163833,23.8641967263463,23.426112186025016,23.81919131616734,23.790941839363168,23.67616025586656,22.914972654948333,,,22.992186690641585,22.170080312525037,24.04218237482507,,,24.265779273163833,,,23.8641967263463,,,23.426112186025016,,,23.81919131616734,,,23.790941839363168,,,23.67616025586656,,,22.914972654948333,,,,,,,,,22.992186690641585,,,22.170080312525037,,
ACVR2B_S(324),20.344079140573978,,,,,,,,,,,20.344079140573978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.344079140573978,,,,,
ADAM17_S(791),27.93421483880075,22.303657019858832,22.850355496743767,22.237101401563464,24.80842926609201,24.296771167631068,24.283832742582494,24.754043801632218,24.38804619867599,24.71082828969655,24.807250352816283,25.054158467456485,23.723382640486,22.303657019858832,,,22.850355496743767,,,22.237101401563464,,,24.80842926609201,,,24.296771167631068,,,24.283832742582494,,,24.754043801632218,,,24.38804619867599,,,24.71082828969655,,,24.807250352816283,,,25.054158467456485,,,23.723382640486,,
ADAM17_T(735),23.692002443994287,,20.120349267116318,,20.974843072743706,,21.77539165845107,,21.07770239821755,20.69778207130583,,21.44141639921699,,,,,20.120349267116318,,,,,,20.974843072743706,,,,,,21.77539165845107,,,,,,21.07770239821755,,,20.69778207130583,,,,,,21.44141639921699,,,,,
AFF4_S(1043),27.85352848665034,23.274123314801493,23.827065088250794,23.19233194954763,24.99018812027603,24.89827588347449,25.090349906579473,24.336744077959473,24.097560879003925,24.409569625162103,23.653488014875716,24.340959505461875,23.48283847725509,23.274123314801493,,,23.827065088250794,,,23.19233194954763,,,24.99018812027603,,,24.89827588347449,,,25.090349906579473,,,24.336744077959473,,,24.097560879003925,,,24.409569625162103,,,23.653488014875716,,,24.340959505461875,,,23.48283847725509,,
