DatasetName,OSBP_M(368) OSBP_S(184) OSBP_S(185) OSBP_S(190) OSBP_S(193) OSBP_S(198) OSBP_S(237) OSBP_S(238) OSBP_S(240) OSBP_S(244) OSBP_S(323) OSBP_S(338) OSBP_S(351) OSBP_S(376) OSBP_S(379) OSBP_S(382) OSBP_S(385) OSBP_S(386) OSBP_S(389) OSBP_T(326) OSBP_T(332) OSBP_T(368) OSBP_T(377) OSBP_Y(767),OSBP_M(351) OSBP_M(367) OSBP_S(368) OSBP_T(3) OSBP_T(367)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,0.5183350483657048,
FSO2013_Ratio M/L normalized Rep3,0.5144616838300403,
SR2019_MCF7_Biol_repl_3,0.5384752006459452,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),0.5182562533317455,
SR2019_LM2_Biol_repl_1,0.5353049001356749,
RCJD2014_15min_1,0.5591196122301039,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,0.5063470676400391,
NJH2025_Sub12_HIIT_Mid,0.5437293097354725,
AH2018_LFQ_IT_1_C,0.5296106013063505,
RKK2015_TNF-α/basal,0.5186895839567597,
JJ2018_Ratio H/M normalized pP2,0.5332832249032895,
NJH2025_Sub12_MICT_Pre,0.546913355653589,
NJH2025_Sub7_MICT_Post,0.5430064545643217,
DL2023_control-3,0.5361786234426374,
ZX2022_Control Replicate 2,0.5291828684667763,
HS2024_6_B_T3,0.5209603315357856,
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,0.52219013927219,
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,0.5651976120577575,
SR2019_MDAMB231_Biol_repl_4,0.5376594976136707,
GF2025_P2_Sph,0.5253899623431307,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,0.5291081107519228,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,0.5433769870207661,
KBE2022_Log2_Ex_44_T,0.5299793254600894,
DB2022_Intensity L2,,
TM2022_mock.4h.C,0.5413822116712715,
AST2020_anti-CD3.2,0.5289711418592812,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,0.5375895787427764,
FSO2013_Ratio M/L normalized Rep1___1,0.5534105306660111,
SAS2015_AZD/DMSO_Exp3,0.5376508929842339,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,0.5229332061723833,
RB2022_5_PreEndurance,0.5157816013714244,
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,0.5304245194512788,
EP2017_Untreated R#4 normalized log2 ratio,0.5311695417786165,
WZ2023_Pu_010_30min,0.5444036507915379,0.726301726718098
AS2011_Ratio H/L Proteins RNAi_2,,
RB2022_4_PreStrength,0.5337939099279049,
NJH2024_Sub4_MICT_Post,0.5310738427587319,
AH2018_LFQ_M_1_X,0.5266235736399487,
RB2022_8_RecoveryEndurance,0.524314801055792,
KBE2022_Log2_Ex_14_U,0.5294173551361643,
FSO2013_Ratio M/L normalized Rep3___3,0.529363090151626,
AH2018_TMTMS3_1_C,0.547155930272924,
JJ2018_Ratio H/L normalized___1,0.5346170563889405,
ZQ2022_C2,0.5311702525644105,
RB2022_5_PreSprint,0.5279890835457245,
PG2020_Intensity 8h_C,0.5345505187734472,
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,0.5419909556507011,
MV2014_Ratio M/H normalized B3___1 (30 min),0.5307281546331529,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,0.5298789762438841,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,0.5418574320727779,
LY2019_P1+,0.5575679844217535,
AS2011_Ratio H/L Proteins Inhi_2,,
BS2014_Log2(Ratio H/L normalized),0.5247907944871679,
UK2020_HCM_2,0.5213013720106309,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,0.5394614053112926,
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,0.5204690084236052,
NJH2024_Sub4_MICT_Mid,0.5296293484203519,
TM2022_S2.4h.A,0.5415574203283743,
RB2022_5_PostStrength,0.5041955321900331,
GF2025_P6_Sph,0.5533614831339161,
RB2022_2_PreSprint,0.5302515731365379,
ZX2022_CB treated Replicate 3,0.5296043767865952,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,0.5373922259281302,0.714625891604161
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,0.5290898887773139,
KBE2022_Log2_Ex_34_U,0.5293376751233864,
WZ2023_Pu_005_10min,0.5361733584708556,0.7100321833354618
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,0.5467713040364657,
CK2022_9 40-1,0.5390744730993361,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,0.5434627434113647,0.699284029100387
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,0.5254137278885146,
NJH2024_Sub4_HIIT_Pre,0.5317336613535336,
RB2022_2_RecoverySprint,0.5283244275504231,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,0.5670092958434648,
FR2021_Norm.Intensity.B,0.5462369482438301,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,0.5376593460707321,
RB2022_5_PostSprint,0.5190021375186046,
EJN2021_3_Rest_Basal,0.5254503195032835,
CR2017_Ratio Replicate 1.3,0.5608915416753474,
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,0.5252216059237506,
AH2018_SILAC_M_2_N,0.5320210553661022,
HS2024_7_PD_T2,0.545105718458312,
FSO2013_Ratio H/L normalized Rep1___1,0.5625865095931778,
AH2018_LFQ_1_C,0.528845217808035,
AS2011_Ratio H/L Normalized Inhi_1_3,,
KBE2022_Log2_Ex_28_T,0.5312833700115993,
HS2024_3_B_N1,0.5393994163159306,
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,0.5369287764791032,0.7180012568975523
CK2022_11 40-1,0.539106559467867,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,0.5318470290089897,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,0.5416652825628041,
FSO2013_Ratio H/L normalized Rep2,0.5540525880882594,
WZ2023_Pu_005_20min,0.5370581101949309,0.7188969458407862
NJH2024_Sub10_MICT_Post,0.5333033290007724,
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,0.5436813779326573,
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,0.554201818709458,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,0.5316335514698248,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,0.5401164140121061,
AH2018_LFQ_M_1_C,0.5316770784412802,
NJH2025_Sub7_MICT_Pre,0.5416619134246637,
SR2019_SKBR3_Biol_repl_2,0.5477365184579689,
HS2024_9_B_T2,0.5371388532166298,
KTGR2014_Ratio-AA 7 mins,,
MV2014_Ratio L/H normalized B3___3 (5 min),,
HS2024_3_PD_T1,0.5092297005115061,
FSO2013_Ratio M/L normalized Rep3___2,0.5254851345248668,
SR2019_BT549_Biol_repl_3,0.5336388592162894,
RCJD2014_20min_mean,0.5128050312688576,
FR2021_Norm.Intensity.H,0.5399105656488853,
RB2022_2_PreStrength,0.5293269086555649,
DB2022_LFQ intensity L1.2,,
HS2024_4_B_N1,0.5068767926974517,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,
CK2022_1 16-1,0.5171642172274257,
CK2022_1 200-1,0.5478220662085009,
PG2020_Intensity Mock_10h_D,0.5128914443966915,
SR2019_MCF10A_Biol_repl_2,0.5396200794386498,
JJ2018_Ratio M/L normalized pP2___2,,
HS2024_6_PD_T1,0.5438333243379231,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,
RB2022_6_RecoveryEndurance,0.5358481911697904,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,
EP2017_Mitotic R#2 normalized log2 ratio,0.5138766874494533,
RCJD2014_5min_1,0.5504226019300898,
RM2024_Intensity D4-1___1,,
DL2023_24h-1,0.5369188264655452,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,0.534483762687423,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,
TM2022_S2.4h.C,0.5415251410834774,
SAS2015_PLX/AZD_Exp2,0.5085529027761322,
CR2017_Ratio Replicate 3.3,0.5626412946522736,
PG2020_Intensity 2h_C,0.532402824006981,
VOI2024_Veh2 di,,
ZX2022_CB treated Replicate 2,0.5316996548887152,
KBE2022_Log2_Ex_8_T,0.5288528694420964,
NJH2025_Sub10_MICT_Post,0.5333033290007724,
HS2024_6_I_T3,0.53736034994947,
RN2012_L11,,
AS2011_Ratio H/L Normalized Inhi_2_2,,
IMM2018_normalised rep. int. Empty-1,0.5169512872549001,
HS2024_5_PD_T1,0.5110229756571346,
AH2018_LFQ_M_2_C,0.5288344621663955,
CK2022_3 40-1,0.5361054108057185,
RBK2021_1260T Early,0.5381756887790424,
NJH2024_Sub4_HIIT_Post,0.5305476749709007,
HS2024_4_I_T1,0.5061418601360652,
YA2020_Reporter_intensity_Cancer_No.5,0.536605042522207,
HH2022_Reporter intensity 8,,
ZQ2022_N2,0.5367296289674454,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,
FSO2013_Ratio H/L normalized Rep3___3,,
AH2018_TMTMS3_2_N,0.5022634876551335,
EJN2021_5_Rest_Basal,0.5273062399399789,
NJH2025_Sub2_HIIT_Post,0.5375434103464789,
NJH2025_Sub1_MICT_Post,0.5480487426599029,
HS2024_9_B_T1,0.5375001861695414,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,
JAW2011_Ratio H/L LS2_1,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,
NJH2024_Sub6_HIIT_Pre,0.5253543023939379,
AH2018_SILAC_3_N,,
YA2020_Reporter_intensity_Normal_No.1,0.5373859237607844,
HS2024_3_B_T1,0.5243902496515341,
JJ2018_Ratio H/L normalized___2,0.5267200933563736,
RM2024_Intensity D0-2,,
MV2014_Ratio M/L normalized B1___2 (5 min),,
RB2022_7_PostStrength,0.5207885004824389,
RB2022_1_PostEndurance,0.5271083309901082,
CR2017_Ratio Replicate 3,0.5259255215070157,
SR2019_Hs578T_Biol_repl_3,0.5310732450377494,
MV2014_Ratio L/H normalized B3___1 (5 min),0.5384402804798158,
RBK2021_1244T Early,0.533969700412586,
RB2022_3_PostSprint,0.5168295113220794,
NJH2024_Sub13_MICT_Mid,0.5393813494781874,
KTGR2014_Ratio-AA 2 mins,,
GF2025_P7_Sph,0.5656646853012333,
HS2024_8_I_T3,0.5269664200409115,
CF2017_EOC 3,0.5311280332299212,
LATM2013_Normalized Log2 Ratio (Medium/Light) Forward,,
HS2024_6_PD_T3,0.5437336945603762,
DL2023_12h-2,0.5394887212205229,
RM2024_Intensity D6-3___1,,
FS2019_Ctr1,0.5321857518750571,
WZ2023_Pu_010_20min,0.5421879372681153,0.7319463282868601
AS2011_Ratio H/L_3,,
CK2022_1 40-1,0.5358854503152691,
RNJ2017_Log2_ratio_Tsup:Trest_D1,0.534350716666181,
CK2022_8 16-1,0.5097925873799014,
KS2014_Intensity N3,0.5392166810450248,
RB2022_4_RecoveryEndurance,0.521201334004266,
RB2022_5_RecoveryEndurance,0.5268897797615938,
JAW2011_Ratio H/L LS1a_2,,
NJH2024_Sub12_HIIT_Mid,0.5437293097354725,
AH2018_LFQ_IT_1_N,0.5308524483035173,
FSO2013_Ratio H/M normalized Rep2,0.5144806333194382,
RAM2015_Log2 A,0.5244389695730923,
HS2024_8_PD_T1,0.5320449908686238,
JJ2018_Ratio H/L normalized pP2,0.5332988980170388,
CF2017_OSE 27,0.527066352018769,
KS2014_Intensity E15_2,0.5480083962062328,
BS2014_Log2(Ratio H/L protein),,
PG2020_Intensity 8h_A,0.5434377589343006,
HS2024_7_I_T1,0.5568222226860468,
VOI2024_Veh3 di,,
RKK2015_TNF-α+SC-514/basal,0.5375164580604651,
SR2019_JIMT1_Biol_repl_1,0.5386687565112528,
HW2015_Ratio H/L normalized Exp2,0.5542675612569459,
HS2024_3_I_N1,0.5353298193497941,
AH2018_SILAC_M_3_X,,
NJH2024_Sub9_HIIT_Post,0.5466038520668517,
AS2011_Ratio H/L RNAi_1_3,,
GRW2016_Ratio H/L normalized SILAC 1___2,,
NJH2025_Sub1_HIIT_Pre,0.5481378073273772,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-2,0.5370210982856694,
NJH2024_Sub4_HIIT_Mid,0.5232025539116177,
VOI2024_0.1uM 2 h_1 di,,
KBE2022_Log2_Ex_6_T,0.5294017643434977,
RM2024_Intensity D4-3___1,,
AH2018_LFQ_4_X,,
AS2011_Inhi 2_Ratio H/L normalized by corresponding protein level (H:TAL treatment; L: MA treatment),,
RB2022_8_PostEndurance,0.5227417182924535,
NJH2025_Sub4_MICT_Mid,0.5296293484203519,
YP2020_Intensity C30_R1_mult_log2,0.53614674010308,
AST2020_anti-CD3.1,0.5294109513243541,
NJH2025_Sub4_HIIT_Post,0.5305476749709007,
EP2017_Untreated R#4 log2 ratio,0.5305393075105307,
HS2024_6_B_N1,0.5328589053797083,
KBE2022_Log2_Ex_27_T,0.5359504015688216,
CW2012_10 µM Gef/control Experiment 1 Replicate A,,
VOI2024_0.1uM 24 h_1 mono,,
AMK2021_120R_p5,,
AS2011_Ratio H/L Proteins,,
NJH2024_Sub7_HIIT_Post,0.5433769870207661,
NJH2015_TMT Subject 1 127_N/126 (Exercise/Basal) (normalized),,0.7082260058340263
AS2011_Ratio H/L RNAi_2_2,,
RB2022_7_RecoveryStrength,0.5310088026721028,
AH2018_SILAC_IT_3_X,0.5300630561642607,
JAW2011_Ratio H/L,,
PG2020_Intensity 10h_C,0.5388809676417622,
FSO2013_Ratio M/L normalized Rep2,0.5489583017914361,
CP2009_Ratio H/M Normalized (50 nM dasatinib vs 5 nM dasatinib),,
HH2022_Reporter intensity 5,,
SR2019_HCC1954_Biol_repl_2,0.5430103359716383,
CK2022_14 40-1,0.5346300458849979,
RB2022_6_PreSprint,0.5367196328101179,
NJH2025_Sub12_MICT_Mid,0.5459241995251299,
PG2020_Intensity 4h_D,0.5195927473711247,
NJH2025_Sub2_MICT_Post,0.5459205691848157,
AH2018_LFQ_4_C,0.5301540245565225,
DL2023_control-1,0.5368956537403003,
AR2021_ALG 10 μM,0.5268618163872656,
JAW2011_Ratio H/L LS2_2,,
AH2018_SILAC_IT_3_N,0.5307246222878338,
EJN2021_4_Rest_Ins,0.5282399386301403,
RN2012_H05,0.5307816658800171,
NJH2024_Sub7_HIIT_Mid,0.5450362015363974,
GF2025_P2_Adh,0.5158360916341231,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4b,,
RB2022_8_PostSprint,0.5198608517532484,
EJN2021_1_Rest_Ins,0.526360275295045,
HH2022_Reporter intensity 3,0.5336766887528489,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4b,,
AH2018_SILAC_IT_1_C,0.5293102100944201,
JW2021_After_3,,
GF2025_P8_Sph,0.5397889771591423,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt4,,
JJ2018_Ratio M/L normalized pP2___1,0.5327162851489969,
