gene_id,transcript_id,length
A1BG,NM_130786.4,8310
A1BG-AS1,NR_015380.2,3214
A1CF,XM_011539729.4,86219
A2M,NM_001347423.2,48522
A2M-AS1,NR_137424.1,2879
A2ML1,XR_931275.2,64839
A2ML1-AS1,NR_046715.1,55096
A2MP1,NR_040112.1,5675
A3GALT2,NM_001080438.1,14333
A4GALT,XM_005261648.5,29181
A4GNT,XM_017006544.2,9590
AA06,NR_037584.2,3974
AAAS,NM_001173466.2,14151
AAAS_1,NM_001173466.2_1,14151
AACS,NR_183033.1,77882
AACSP1,NR_024035.2,53575
AADAC,NM_001086.3,14373
AADACL2,NM_207365.4,27413
AADACL2-AS1,NR_110203.1,176997
AADACL2-AS1_1,NR_110202.1_1,3958
AADACL2_1,NM_207365.4_1,25572
AADACL3,NR_111984.2,12651
AADACL4,NM_001013630.2,22992
AADACP1,NR_026915.1,14439
AADAT,XM_047415763.1,34071
AAGAB,NM_001271885.2,54532
AAK1,NM_001371577.1,185743
AAMDC,NR_171642.1,84881
AAMP,NM_001087.5,6009
AANAT,NM_001166579.2,16767
AAR2,XM_006723770.4,20456
AARD,NM_001025357.3,6281
AARS1,NM_001605.3,37209
AARS2,XM_005249245.4,14617
AARSD1,NM_001261434.2,13929
AASDH,NM_001286668.2,49202
AASDHPPT,NM_015423.3,21034
AASS,XM_011515725.3,70701
AATBC,NR_026961.1,6810
AATF,NM_012138.4,107918
AATF_1,NM_012138.4_1,107918
AATK,NM_001080395.3,48927
ABALON,NR_131907.1,1903
ABAT,XM_047433688.1,109954
ABCA1,NM_005502.4,147150
ABCA10,NM_080282.4,96842
ABCA11P,NR_002451.2,48775
ABCA12,NR_103740.2,207085
ABCA13,XM_011515130.3,476040
ABCA15P,NR_026675.1,17743
ABCA15P_1,NR_026675.1_1,17731
ABCA17P,NR_003574.1,85778
ABCA2,XM_047422921.1,21689
ABCA3,NM_001089.3,64848
ABCA4,NM_001425324.1,128315
ABCA5,NM_172232.4,82823
ABCA6,NM_080284.3,63194
ABCA7,NM_019112.4,25466
ABCA8,NM_001375771.1,88104
ABCA9,XM_017024013.2,103737
ABCA9-AS1,NR_126414.1,13610
ABCB1,NM_001348944.2,210279
ABCB10,NM_012089.3,42126
ABCB11,XM_017005165.2,115935
ABCB11_1,NM_003742.4_1,15654
ABCB4,XR_007060054.1,109785
ABCB5,NM_001163941.2,141342
ABCB6,NM_001349828.2,9187
ABCB7,NM_001271698.3,105236
ABCB8,NM_001282291.2,19333
ABCB9,XR_007063061.1,56505
ABCC1,XM_047434134.1,193911
ABCC10,XR_007059383.1,24132
ABCC11,XM_017023798.3,81767
ABCC12,NR_171628.1,75112
ABCC13,NR_003087.1,27588
ABCC1_1,XM_054329091.1,193613
ABCC2,NM_000392.5,69955
ABCC3,NM_003786.4,57373
ABCC4,NM_001301829.2,281617
ABCC5,NM_005688.4,97951
ABCC5-AS1,NR_046570.1,5082
ABCC6,NM_001171.6,73930
