gene_id,transcript_id,length
A1BG,NM_130786.4,8310
A1BG-AS1,NR_015380.2,3214
A1CF,NM_001198819.2,86219
A2M,NM_001347423.2,48522
A2M-AS1,NR_026971.1,2879
A2ML1,XR_001748594.2,64839
A2ML1-AS1,NR_046715.1,55096
A2MP1,NR_040112.1,5675
A3GALT2,NM_001080438.1,14333
A4GALT,XM_047441412.1,29181
A4GNT,XM_017006544.2,9590
AA06,NR_037584.2,3974
AAAS,NM_015665.6,14151
AACS,NM_001414677.1,77882
AACSP1,NR_135095.1,53575
AADAC,XM_005247104.5,14373
AADACL2,NM_207365.4,27413
AADACL2-AS1,NR_110202.1,176997
AADACL3,NM_001103170.3,12651
AADACL4,NM_001013630.2,22992
AADACP1,NR_026915.1,14439
AADAT,XM_047415763.1,34071
AAGAB,NM_001271885.2,54532
AAK1,NM_001426745.1,185743
AAMDC,NM_001392034.1,84881
AAMP,NM_001302545.2,6009
AANAT,NM_001166579.2,16767
AAR2,NM_001271874.2,20456
AARD,NM_001025357.3,6281
AARS1,NM_001605.3,37209
AARS2,NM_020745.4,14617
AARSD1,NM_001261434.2,13929
AASDH,NM_001323890.2,49202
AASDHPPT,NM_015423.3,21034
AASS,NM_005763.4,70701
AATBC,NR_026961.1,6810
AATF,NM_001411094.1,107918
AATK,NM_001080395.3,48927
ABALON,NR_131907.1,1903
ABAT,NM_001386612.1,109954
ABCA1,NM_005502.4,147150
ABCA10,NM_080282.4,96842
ABCA11P,NR_002451.2,48775
ABCA12,XM_011510951.3,207085
ABCA13,XM_011515133.3,476040
ABCA15P,NR_026675.1,17743
ABCA17P,NR_003574.1,85778
ABCA2,NM_212533.3,21689
ABCA3,NM_001089.3,64848
ABCA4,NM_000350.3,128315
ABCA5,NM_172232.4,82823
ABCA6,NM_080284.3,63194
ABCA7,XM_047438046.1,25466
ABCA8,NM_001288985.2,88104
ABCA9,XM_017024013.2,103737
ABCA9-AS1,NR_126414.1,13610
ABCB1,NM_001348945.2,210279
ABCB10,NM_012089.3,42126
ABCB11,XM_017005165.2,115935
ABCB4,XR_007060054.1,109785
ABCB5,NM_001163941.2,141342
ABCB6,NM_005689.4,9187
ABCB7,NM_004299.6,105236
ABCB8,NM_001282293.2,19333
ABCB9,XR_007063061.1,56505
ABCC1,XM_047434134.1,193911
ABCC10,XR_007059383.1,24132
ABCC11,NM_001370497.1,81767
ABCC12,NM_033226.3,75112
ABCC13,NR_003087.1,27588
ABCC2,NM_000392.5,69955
ABCC3,NM_003786.4,57373
ABCC4,NM_005845.5,281617
ABCC5,XM_047447098.1,97951
ABCC5-AS1,NR_046570.1,5082
ABCC6,NM_001171.6,73999
ABCC6P1,NR_003569.1,27042
ABCC6P2,NR_023387.2,2276
ABCC8,NM_001351295.2,84348
ABCC9,XM_011520545.4,144038
ABCD1,NM_000033.4,19900
ABCD2,XM_017018992.3,88779
ABCD3,XM_047426556.1,133533
ABCD4,XM_017021531.3,17666
