gene_id,longest_refseq_transcript_id,longest_refseq_length,longest_ucsc_transcript_id,longest_ucsc_length
IFT57,NM_018010.4,61613,NM_018010.4,61613
LOC105369183,XR_002957915.2,10831,XR_002957915.2,10831
ZNF833P,NR_028594.1,12572,NR_028594.1,12572
CDH19,NR_073130.2,103008,NM_021153.4,103008
DEFB106A,NM_152251.4,3915,NM_152251.4,3917
LOC124900800,XR_007058333.1,2404,XR_007058333.1,2404
ZFAND3,NM_021943.3,334898,NM_001410904.1,334898
LOC105370922,XR_932529.2,35800,XR_932529.2,35800
LOC105376166,XR_930154.3,6381,XR_007061683.1,6381
LOC107987435,XR_007063209.1,96284,XR_007063209.1,96284
GPC3,NM_001164619.2,449850,NM_001164617.2,449850
LOC105373312,XR_938503.3,15741,XR_938504.3,15741
LOC124901426,XR_007059807.1,16458,XR_007059807.1,16458
SEL1L,XM_047431676.1,62307,NM_005065.6,62307
PDE6G,NR_158591.1,12669,NM_001365724.1,12669
TMC3,NM_001080532.3,43126,NM_001080532.3,43126
BEAN1,NM_001197224.4,67994,NM_001197224.4,67994
SLC12A2-DT,NR_152813.1,142736,NR_152804.1,142736
LOC101927830,NR_109985.1,27038,NR_109985.1,27038
LOC105378918,XR_947726.2,2842,XR_947725.2,2842
PPP1R35,XM_011515914.2,1417,XM_011515914.2,1417
LOC105377220,XR_001756063.1,4694,XR_001756063.1,4694
POU6F2-AS1,NR_046711.1,1749,NR_046711.1,1749
TMC3-AS1,NR_120365.1,118744,NR_120365.1,118744
LOC124903934,XR_007065639.1,11831,XR_007065639.1,11831
BOLL,NM_001284358.2,59317,XM_011511692.4,59317
MIR516A2,NR_030221.1,90,NR_030221.1,90
OR4E1,NM_001317107.2,5933,NM_001317107.2,5933
LARS2-AS1,NR_048543.1,26851,NR_048543.1,26851
MIR6514,NR_106769.1,70,NR_106769.1,70
SNORD60,NR_002736.1,83,NR_002736.1,83
SNORD130,NR_132973.1,142,NR_132973.1,142
SEC31B,NM_015490.4,33215,NM_015490.4,33215
MIR4471,NR_039681.1,83,NR_039681.1,83
LOC107984628,XR_001750947.2,8457,XR_001750947.2,8457
LINC03125,XR_937371.2,30668,XR_937371.2,30668
LOC105373067,XR_938308.3,3815,XR_938308.3,3815
LOC124902088,XR_007061218.1,105,XR_007061218.1,105
LOC107984855,XR_001752131.1,1959,XR_001752131.1,1959
LOC124905072,XR_007067951.1,106,XR_007067951.1,106
SPDYA,NM_182756.4,39777,NM_001142634.2,39777
SPOCK1,NM_004598.4,524029,NM_004598.4,524029
STAM,NM_001324284.2,72674,NM_001324286.2,72674
LOC101928068,NR_111907.1,5666,NR_111907.1,5666
PLCZ1,XR_001748912.2,92404,XR_001748912.2,92404
JPX,NR_024582.1,126061,NR_024582.1,126061
LINC01634,NR_024417.1,8584,NR_024417.1,8584
LOC105378544,XR_946438.2,9185,XR_946438.2,9185
PSMA2,NM_002787.5,15314,NM_002787.5,15314
RCCD1-AS1,NR_170325.1,2256,NR_170325.1,2256
MIR17HG,NR_027350.2,6891,NR_027349.2,6891
LOC128071543,NR_138090.2,12510,NR_138090.2,12510
GCK,NM_001354800.1,46227,NM_001354800.1,46227
CDKN2B,NM_078487.2,6411,NM_078487.2,6411
BRSK2,NR_046331.2,72756,NM_003957.4,72756
DNAAF8,NM_139170.3,14860,XM_005255144.4,14860
LOC124902873,XR_007063206.1,4943,XR_007063206.1,4943
LOC105375148,NR_187872.1,147709,NR_187872.1,147709
SLX1A,NM_001015000.2,3724,NM_001015000.2,3724
PTH,NM_001316352.2,4128,NM_001316352.2,4128
LOC124901026,XR_007058871.1,3136,XR_007058871.1,3136
RCC2,NM_018715.4,32918,NM_018715.4,32918
AHI1-DT,NR_152842.1,218255,NR_152842.1,218255
PDE6B-AS1,NR_183810.1,2296,NR_183811.1,2296
LOC124903464,XR_007064580.1,19496,XR_007064580.1,19496
LOC124903156,XR_007063758.1,2683,XR_007063758.1,2683
LINC02427,NR_147158.1,31124,NR_147158.1,31124
FGD3,NM_001083536.2,88711,NM_001083536.2,88711
LOC124902012,XR_007061082.1,3721,XR_007061082.1,3721
LOC102723996,XM_047440643.1,24153,XM_047440644.1,24153
ARPP21-AS1,NR_046679.1,1765,NR_046679.1,1765
LOC107986385,XR_001742519.2,3793,XR_001742519.2,3793
LOC105375631,XR_002956667.2,30905,XR_002956667.2,30905
LOC440895,NR_027143.3,20885,NR_027142.1,20885
NEBL,NM_001377326.1,513078,NM_001377327.1,513078
FAM120A,XM_011518412.3,114428,XM_047423082.1,114428
H4C11,NM_021968.4,389,NM_021968.4,389
LOC105372625,XR_936740.4,4248,XR_936740.4,4248
PRL,NM_001163558.3,15590,XM_011514754.3,15590
CREB5,NM_182899.5,526574,NM_182899.5,526574
LOC105376828,XR_001737788.2,2904,XR_001737787.1,2904
GINS2,NM_016095.3,12757,NM_016095.3,12757
RELCH,NR_144408.2,122995,NM_001346233.2,122995
LOC105376473,XR_930786.3,1933,XR_930786.3,1933
VPS29,NR_104102.2,11029,NM_001282150.2,11029
ADCY1,NM_021116.4,148749,XM_005249584.4,148749
LOC124900665,XR_007058029.1,8979,XR_007058029.1,8979
LOC102723657,XR_932455.3,7349,XR_932455.3,7349
LOC107984476,XR_001749063.1,11243,XR_001749063.1,11243
ZNF28,NR_163139.1,24226,NM_001369765.1,24226
CAPZA2,NM_006136.3,59463,NM_006136.3,59463
LIPT1,NR_037936.2,8171,NM_145199.3,8171
LOC105373091,XM_011530661.3,1081,XM_011530661.3,1081
C1R,NM_001733.7,12227,NM_001733.7,12227
LOC105373727,XR_923547.2,70096,XR_923547.2,70096
BRPF3-AS1,NR_187147.1,50512,NR_187147.1,50512
MGAT4B,NM_014275.5,9257,NM_014275.5,9257
LOC105375812,XR_928835.1,2363,XR_928835.1,2363
RNF187,NM_001010858.3,8807,NM_001010858.3,8807
CBLL1-AS1,NR_144537.1,1829,NR_144537.1,1829
PCP4L1,XM_017002154.3,26706,NM_001102566.2,26706
LOC124903099,XR_007063627.1,70,XR_007063627.1,70
RNA5-8SN3,NR_146153.1,157,NR_146153.1,157
LOC124901814,XR_007060644.1,4705,XR_007060644.1,4705
LOC105378995,XR_948369.1,9497,XR_948369.1,9497
FAM168A,NM_001286051.2,197626,NM_001286050.2,197626
LOC105378631,XR_947160.4,6757,XR_947160.4,6757
LOC124904485,XR_007066797.1,665,XR_007066797.1,665
LOC105370634,XR_944168.3,12661,XR_944166.3,12661
MIR4699,NR_039848.1,74,NR_039848.1,74
CDC40,NM_015891.3,51806,NM_015891.3,51806
LOC107984126,XM_017015387.1,1551,XM_017015387.1,1551
WHAMMP3,NR_003521.1,20630,NR_003521.1,20641
KLK15,XM_047439064.1,8286,NM_017509.4,8286
LOC105379380,XR_949685.3,55679,XR_949685.3,55679
LOC124900904,XR_007058546.1,105,XR_007058546.1,105
NEURL4,NM_001005408.2,13708,NM_032442.3,13708
POLR1A,NM_015425.6,85671,NM_015425.6,85671
SETD4,NR_040087.3,25986,XM_011529637.3,25986
CCR2,NM_001123396.4,6830,NM_001123041.3,6830
KHNYN,XM_011536590.3,18679,XM_011536590.3,18679
ZBTB41,NR_135153.2,47612,XM_047419671.1,47612
LOC107986943,XR_001745899.2,12774,XR_001745899.2,12774
SLC27A2,NM_003645.4,54190,NM_001159629.2,54190
DRAXIN,NM_198545.4,34148,NM_198545.4,34148
SNORA77,NR_003019.1,125,NR_003019.1,125
LOC124901811,XR_007060640.1,9587,XR_007060639.1,9587
LOC107987146,XR_001747320.2,5594,XR_001747320.2,5594
TMCC1-DT,NR_037893.1,15042,NR_037893.1,15042
HNRNPR,NM_001297622.2,39597,XM_047424699.1,39597
LOC124909347,XR_007095826.1,7148,XR_007095826.1,7148
STAG3,XM_017011683.3,41417,XM_017011683.3,41417
LOC102723834,XR_426933.4,24727,XR_426933.4,24727
LOC124903674,XR_007065047.1,3832,XR_007065047.1,3832
LOC105375584,XR_928222.1,3984,XR_928222.1,3984
ZKSCAN4,XM_047418753.1,17515,NM_001304506.2,17515
LOC105377668,XR_941082.2,5996,XR_941082.2,5996
LOC102723896,XR_007058233.1,5841,XR_007058233.1,5841
MATN1-AS1,NR_034182.1,7975,NR_034182.1,7975
LOC124904027,XR_007065848.1,2721,XR_007065848.1,2721
MIR4526,NR_039752.1,87,NR_039752.1,87
OGA,NM_001142434.2,33995,NM_012215.5,33995
LINC02725,NR_183639.1,87798,NR_183639.1,87798
SH2D4B,NM_001388272.1,108659,NM_207372.2,108659
ST8SIA5,NM_001307987.2,89233,NM_001307986.2,89233
CDH23,NM_022124.6,419028,NM_022124.6,419028
LOC124905958,XR_007088680.1,2750,XR_007088680.1,2750
MIR671,NR_030407.1,118,NR_030407.1,118
LOC105372985,XR_001755481.2,2423,XR_001755481.2,2423
KMT2C,NM_170606.3,301079,NM_170606.3,301079
TACR1,NM_001058.4,153058,NM_001058.4,153058
SNORA23,NR_002962.2,189,NR_002962.2,189
FKBP11,XM_047428939.1,17072,XM_047428939.1,17072
NCBP2L,NM_001348372.2,18097,NM_001348372.2,18097
EPCAM-DT,NR_110208.1,152670,NR_110208.1,152670
JAKMIP1-DT,NR_037863.1,33204,NR_037863.1,33204
CER1,XR_001746419.2,5408,XR_001746419.2,5408
LOC124902126,XR_007061426.1,10456,XR_007061426.1,10456
RIC1,XR_428426.4,149527,XR_007061332.1,149527
IRAK1BP1,XM_047418194.1,111861,XM_047418194.1,111861
SNORA114,NR_145797.1,141,NR_145797.1,141
CALML6,XM_005244729.4,2037,NM_001330313.2,2037
ITPKB-IT1,NR_103784.1,18989,NR_103784.1,18989
MZF1,NM_003422.3,11642,XM_011527264.4,11642
PCSK9,NR_110451.3,25305,NM_001407245.1,25305
SHCBP1,NR_136738.2,42789,NM_024745.5,42789
DOK5,NM_018431.5,175577,NM_177959.3,175577
DNAJC4,NM_001307980.1,3850,NM_001307981.1,3850
LOC105375341,NR_187905.1,170147,NR_187905.1,170147
LOC105369519,XR_007062909.1,19295,XR_007062909.1,19295
OTX1,NM_001199770.2,8097,NM_001199770.2,8097
PPP2R3C,NR_130972.2,36827,XM_024449638.2,36827
STRA8,NM_182489.3,26749,NM_182489.3,26749
SP3,NM_003111.5,64599,NM_003111.5,64599
LOC124905543,XR_007069375.1,1010,XR_007069375.1,1010
