DatasetName,RPL34_S(3) RPL34_S(44) RPL34_S(81) RPL34_S(9),RPL34_S(113) RPL34_S(12) RPL34_S(17) RPL34_S(68) RPL34_T(15) RPL34_T(20)
RM2024_Intensity D4-1___3,,
RB2022_4_PostEndurance,,0.5422725406774035
FSO2013_Ratio M/L normalized Rep3,,
SR2019_MCF7_Biol_repl_3,,0.5080387506579541
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,0.4944876406399512
SR2019_LM2_Biol_repl_1,,0.531122368117955
RCJD2014_15min_1,,
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,
CK2022_7 16-1,,
NJH2025_Sub12_HIIT_Mid,,
AH2018_LFQ_IT_1_C,,
RKK2015_TNF-α/basal,,0.4600307190092652
JJ2018_Ratio H/M normalized pP2,,
NJH2025_Sub12_MICT_Pre,,
NJH2025_Sub7_MICT_Post,,0.48346460464823054
DL2023_control-3,,
ZX2022_Control Replicate 2,,
HS2024_6_B_T3,,0.49697876865624085
JW2015_Intensity pre1,,
IMM2018_normalised rep. int. Empty-3,,0.5012296875085931
AMK2021_30R_p5,,
FSO2013_Ratio M/L normalized Rep1,,
SR2019_MDAMB231_Biol_repl_4,,0.4928087942749703
GF2025_P2_Sph,,0.42810490163454423
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,
NJH2025_Sub13_HIIT_Mid,,
CP2009_Ratio M/L,,
NJH2025_Sub7_HIIT_Post,,0.4733604497731286
KBE2022_Log2_Ex_44_T,0.6632288235260912,0.5227042843904737
DB2022_Intensity L2,,
TM2022_mock.4h.C,,0.5064048849970171
AST2020_anti-CD3.2,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,
HS2024_7_B_N1,,0.4895117661650332
FSO2013_Ratio M/L normalized Rep1___1,,
SAS2015_AZD/DMSO_Exp3,,
RM2024_Intensity D0-2___3,,
RM2024_Intensity D6-1,,
RB2022_8_RecoverySprint,,
RB2022_5_PreEndurance,,0.5239431936575073
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,
EP2017_Untreated R#4 normalized log2 ratio,,0.48448073858647184
WZ2023_Pu_010_30min,,0.4561181529212965
AS2011_Ratio H/L Proteins RNAi_2,,0.5024963787248439
RB2022_4_PreStrength,,0.5096949135523151
NJH2024_Sub4_MICT_Post,,
AH2018_LFQ_M_1_X,,
RB2022_8_RecoveryEndurance,,0.49986594708101
KBE2022_Log2_Ex_14_U,0.6590793588686928,0.49877302781828226
FSO2013_Ratio M/L normalized Rep3___3,,
AH2018_TMTMS3_1_C,,
JJ2018_Ratio H/L normalized___1,,
ZQ2022_C2,,
RB2022_5_PreSprint,,
PG2020_Intensity 8h_C,,0.47130991319204923
AH2018_SILAC_MR_2_N,,
MV2014_Ratio M/L normalized A1___2 (2 min),,
TM2022_S2.8h.B,,0.5120061218307084
MV2014_Ratio M/H normalized B3___1 (30 min),,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,
RM2024_Intensity D6-1___2,,
NJH2025_Sub7_MICT_Mid,,0.4789200336106687
LY2019_P1+,,
AS2011_Ratio H/L Proteins Inhi_2,,0.4908671250203682
BS2014_Log2(Ratio H/L normalized),,
UK2020_HCM_2,,
FSO2013_Ratio H/L normalized Rep2___2,,
EP2017_Pervanadate R#3 normalized log2 ratio,,0.5190510271371591
RM2024_Intensity D4-3___3,,
RB2022_5_PreStrength,,0.46371578948493886
NJH2024_Sub4_MICT_Mid,,
TM2022_S2.4h.A,,0.5135870132227118
RB2022_5_PostStrength,,0.4974459998841869
GF2025_P6_Sph,,0.457542549671178
RB2022_2_PreSprint,,
ZX2022_CB treated Replicate 3,,
RM2024_Intensity D6-2___3,,
WZ2023_Pe_025_10min,,0.4549169624150613
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,
AST2020_anti-CD3+PDL2.1,,
KBE2022_Log2_Ex_34_U,0.6490833646409869,0.48871115050865366
WZ2023_Pu_005_10min,,0.44710378057419103
AS2011_Ratio H/L RNAi_2_1,,
NJH2024_Sub9_HIIT_Mid,,
CK2022_9 40-1,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,
LG2023_GSK3α-1_intensity,,
WZ2023_Pu_025_30min,,0.4616687516054249
AH2018_SILAC_MR_2_X,,
HS2024_4_PD_T2,,0.5099101540930742
NJH2024_Sub4_HIIT_Pre,,
RB2022_2_RecoverySprint,,
AS2011_Ratio H/L Protein RNAi_1,,
RM2024_Intensity D2-1___2,,
CR2017_Ratio Replicate 1.4,,0.5564877249008563
FR2021_Norm.Intensity.B,,
RM2024_Intensity D6-2___1,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,
RB2022_5_PostSprint,,0.509097951551009
EJN2021_3_Rest_Basal,,0.4849155732776052
CR2017_Ratio Replicate 1.3,,0.5113743042096126
AS2011_Ratio H/L Normalized by Protein RNAi_2,,
KTGR2014_Ratio-Rapa 7 mins,,
AMK2021_120R_p1,,
AH2018_SILAC_3_X,,
JJ2018_Ratio M/L normalized pP3,,
AH2018_SILAC_M_2_N,,
HS2024_7_PD_T2,,0.49088408947888224
FSO2013_Ratio H/L normalized Rep1___1,,0.4375982426549216
AH2018_LFQ_1_C,,
AS2011_Ratio H/L Normalized Inhi_1_3,,0.5083612550599445
KBE2022_Log2_Ex_28_T,,0.5183684857358141
HS2024_3_B_N1,,0.49933459412702247
RM2024_Intensity D4-2___3,,
WZ2023_Pe_025_30min,,0.4436237784673514
CK2022_11 40-1,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,
AH2018_SILAC_2_X,,
MV2014_Ratio H/M normalized A2___2 (2 min),,
AS2011_Ratio H/L RNAi_1_2,,
KS2014_Intensity E15_1,,
FSO2013_Ratio H/L normalized Rep2,,0.4431175251161261
WZ2023_Pu_005_20min,,0.4546793572154888
NJH2024_Sub10_MICT_Post,,0.476445920859907
RM2024_Intensity D2-3___1,,
CR2017_Ratio Replicate 1.5,,0.5398057319793758
CW2012_10 µM Gef/control Experiment 2 Replicate B,,
HS2024_7_B_T3,,0.4998695773731321
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,
AS2011_Ratio H/L RNAi_1,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,
AH2018_LFQ_M_1_C,,
NJH2025_Sub7_MICT_Pre,,0.4803549883354787
SR2019_SKBR3_Biol_repl_2,,0.49787769023388884
HS2024_9_B_T2,,0.5137015788838076
