DatasetName,MIGA2_S(266) MIGA2_T(206) MIGA2_T(218),MIGA2_S(124) MIGA2_S(125) MIGA2_S(203) MIGA2_S(228) MIGA2_T(119),MIGA2_M(273) MIGA2_M(276) MIGA2_S(107) MIGA2_S(111) MIGA2_S(116) MIGA2_S(214) MIGA2_S(220) MIGA2_S(224) MIGA2_S(276)
RM2024_Intensity D4-1___3,,,
RB2022_4_PostEndurance,,,0.5638063872730052
FSO2013_Ratio M/L normalized Rep3,,,
SR2019_MCF7_Biol_repl_3,,,
RKK2015_IKKb(K44M)+TNF-α/IKKb(K44M),,,
SR2019_LM2_Biol_repl_1,,,
RCJD2014_15min_1,,0.4414800400337425,0.5948508742293684
AS2011_Ratio H/L Normalized by Proteins Inhi_1,,,
CK2022_7 16-1,,,
NJH2025_Sub12_HIIT_Mid,,,
AH2018_LFQ_IT_1_C,,,0.5394693762702052
RKK2015_TNF-α/basal,,,
JJ2018_Ratio H/M normalized pP2,,,
NJH2025_Sub12_MICT_Pre,,,
NJH2025_Sub7_MICT_Post,,,
DL2023_control-3,,,
ZX2022_Control Replicate 2,,0.436600175028065,0.563744684288062
HS2024_6_B_T3,,,
JW2015_Intensity pre1,,,
IMM2018_normalised rep. int. Empty-3,,,
AMK2021_30R_p5,,,
FSO2013_Ratio M/L normalized Rep1,,,
SR2019_MDAMB231_Biol_repl_4,,,
GF2025_P2_Sph,,,0.5514710291988598
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt2b,,,
NJH2025_Sub13_HIIT_Mid,,,
CP2009_Ratio M/L,,,
NJH2025_Sub7_HIIT_Post,,,
KBE2022_Log2_Ex_44_T,,,
DB2022_Intensity L2,,,
TM2022_mock.4h.C,,,
AST2020_anti-CD3.2,,,
CW2012_10 µM Erl/control Experiment 1 Replicate B,,,
HS2024_7_B_N1,,,
FSO2013_Ratio M/L normalized Rep1___1,,,
SAS2015_AZD/DMSO_Exp3,,,
RM2024_Intensity D0-2___3,,,
RM2024_Intensity D6-1,,,
RB2022_8_RecoverySprint,,,0.5451466873552744
RB2022_5_PreEndurance,,,0.5541635455846194
CKC2017_log2 normalized phosphoproteomics_30min_rep#2,,,
EP2017_Untreated R#4 normalized log2 ratio,,,0.5319142883673567
WZ2023_Pu_010_30min,0.20607547412307256,0.4122980573290361,0.5606727220199031
AS2011_Ratio H/L Proteins RNAi_2,,,
RB2022_4_PreStrength,,,0.5467238256666019
NJH2024_Sub4_MICT_Post,,,
AH2018_LFQ_M_1_X,,,0.5422380711271776
RB2022_8_RecoveryEndurance,,,0.5459932074874986
KBE2022_Log2_Ex_14_U,,,
FSO2013_Ratio M/L normalized Rep3___3,,,
AH2018_TMTMS3_1_C,,,0.5538145683699595
JJ2018_Ratio H/L normalized___1,,,
ZQ2022_C2,,,0.5420511785727725
RB2022_5_PreSprint,,,0.5428416581800811
PG2020_Intensity 8h_C,,,0.5221249137083731
AH2018_SILAC_MR_2_N,,,0.5308356092027562
MV2014_Ratio M/L normalized A1___2 (2 min),,,
TM2022_S2.8h.B,,,
MV2014_Ratio M/H normalized B3___1 (30 min),,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as4a,,,
RNJ2017_Log2_ratio_Tsup:Tstim_D2,,,
RM2024_Intensity D6-1___2,,,
NJH2025_Sub7_MICT_Mid,,,
LY2019_P1+,,,0.5379951223119035
AS2011_Ratio H/L Proteins Inhi_2,,,
BS2014_Log2(Ratio H/L normalized),,,0.5406362325698368
UK2020_HCM_2,,,
FSO2013_Ratio H/L normalized Rep2___2,,,
EP2017_Pervanadate R#3 normalized log2 ratio,,,0.5285873593797796
RM2024_Intensity D4-3___3,,,
RB2022_5_PreStrength,,,0.5499910579496747
NJH2024_Sub4_MICT_Mid,,,
TM2022_S2.4h.A,,,
RB2022_5_PostStrength,,,0.5386596858963095
GF2025_P6_Sph,,,0.5595933492509552
RB2022_2_PreSprint,,,
ZX2022_CB treated Replicate 3,,0.4390438033208942,0.5574219858362045
RM2024_Intensity D6-2___3,,,
WZ2023_Pe_025_10min,0.20336255000651904,0.4161915942314078,0.5612298773354867
AS2011_Ratio H/L Normalized by Proteins RNAi_1,,,
AST2020_anti-CD3+PDL2.1,,,
KBE2022_Log2_Ex_34_U,,,
WZ2023_Pu_005_10min,0.17511150430433073,0.40940117223266326,0.5648444894637377
AS2011_Ratio H/L RNAi_2_1,,,
NJH2024_Sub9_HIIT_Mid,,,
CK2022_9 40-1,,,
KTGR2014_Ratio H L Normalized Rep1_Rapamycin_0_15,,,
LG2023_GSK3α-1_intensity,,,
WZ2023_Pu_025_30min,0.21266994919218699,0.41148397242658985,0.5611696431944702
AH2018_SILAC_MR_2_X,,,0.5296755309296318
HS2024_4_PD_T2,,,
NJH2024_Sub4_HIIT_Pre,,,
RB2022_2_RecoverySprint,,,
AS2011_Ratio H/L Protein RNAi_1,,,
RM2024_Intensity D2-1___2,,,
CR2017_Ratio Replicate 1.4,,,0.5341731377513669
FR2021_Norm.Intensity.B,,,
RM2024_Intensity D6-2___1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.2-1,,,
RB2022_5_PostSprint,,,0.5627409609616874
EJN2021_3_Rest_Basal,,,
CR2017_Ratio Replicate 1.3,,,0.5483992278867121
AS2011_Ratio H/L Normalized by Protein RNAi_2,,,
KTGR2014_Ratio-Rapa 7 mins,,,
AMK2021_120R_p1,,,
AH2018_SILAC_3_X,,,0.5356719905174528
JJ2018_Ratio M/L normalized pP3,,,
AH2018_SILAC_M_2_N,,,0.5265723984941171
HS2024_7_PD_T2,,,
FSO2013_Ratio H/L normalized Rep1___1,,,
AH2018_LFQ_1_C,,,0.530292903381026
AS2011_Ratio H/L Normalized Inhi_1_3,,,
KBE2022_Log2_Ex_28_T,,,
HS2024_3_B_N1,,,
RM2024_Intensity D4-2___3,,,
WZ2023_Pe_025_30min,,0.41492364546999205,0.5615145201935001
CK2022_11 40-1,,,
CW2012_10 µM Erl/control Experiment 3 Replicate B,,,
AH2018_SILAC_2_X,,,0.5320764127858953
MV2014_Ratio H/M normalized A2___2 (2 min),,,
AS2011_Ratio H/L RNAi_1_2,,,
KS2014_Intensity E15_1,,0.37134660936512787,0.550116808335481
FSO2013_Ratio H/L normalized Rep2,,,
WZ2023_Pu_005_20min,0.19973915178034451,0.4112055683030956,0.5588694906386615
NJH2024_Sub10_MICT_Post,,,
RM2024_Intensity D2-3___1,,,
CR2017_Ratio Replicate 1.5,,,0.6018468152871852
CW2012_10 µM Gef/control Experiment 2 Replicate B,,,
HS2024_7_B_T3,,,
CKC2017_log2 normalized phosphoproteomics_60min_rep#1,,,
AS2011_Ratio H/L RNAi_1,,,
JC2019_Normalised_intensity_A_TiOx_Testis_sample_URO0059,,,
AH2018_LFQ_M_1_C,,,0.5404845093846331
NJH2025_Sub7_MICT_Pre,,,
SR2019_SKBR3_Biol_repl_2,,,
HS2024_9_B_T2,,,
KTGR2014_Ratio-AA 7 mins,,,
MV2014_Ratio L/H normalized B3___3 (5 min),,,
HS2024_3_PD_T1,,,
FSO2013_Ratio M/L normalized Rep3___2,,,
SR2019_BT549_Biol_repl_3,,,
RCJD2014_20min_mean,,0.4286911742059781,0.5200428469000384
FR2021_Norm.Intensity.H,,,
RB2022_2_PreStrength,,,
DB2022_LFQ intensity L1.2,,,
HS2024_4_B_N1,,,
KTGR2014_Ratio H M Normalized Rep2_Rapamycin_0_15,,,
CK2022_1 16-1,,,
CK2022_1 200-1,,,
PG2020_Intensity Mock_10h_D,,,0.5267096622472863
SR2019_MCF10A_Biol_repl_2,,,
JJ2018_Ratio M/L normalized pP2___2,,,
HS2024_6_PD_T1,,,
JVO2010_Ratio M/L Normalized by Protein ThymON - Log2 G1/S,,,
RB2022_6_RecoveryEndurance,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt3b,,,
EP2017_Mitotic R#2 normalized log2 ratio,,,0.5107481877513687
RCJD2014_5min_1,,0.4423702371739792,0.559273365218706
RM2024_Intensity D4-1___1,,,
DL2023_24h-1,,,
YC2018_Log2(SKBR3-LR/SKBR3)_Rep.1-1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as2b,,,
TM2022_S2.4h.C,,,
SAS2015_PLX/AZD_Exp2,,,
CR2017_Ratio Replicate 3.3,,,0.5489656534941562
PG2020_Intensity 2h_C,,,
VOI2024_Veh2 di,,,
ZX2022_CB treated Replicate 2,,0.4337644985294955,0.5500618628181484
KBE2022_Log2_Ex_8_T,,,
NJH2025_Sub10_MICT_Post,,,
HS2024_6_I_T3,,,
RN2012_L11,,,
AS2011_Ratio H/L Normalized Inhi_2_2,,,
IMM2018_normalised rep. int. Empty-1,,,
HS2024_5_PD_T1,,,
AH2018_LFQ_M_2_C,,,0.5331070070997204
CK2022_3 40-1,,,
RBK2021_1260T Early,,,
NJH2024_Sub4_HIIT_Post,,,
HS2024_4_I_T1,,,
YA2020_Reporter_intensity_Cancer_No.5,,,0.5442811251964926
HH2022_Reporter intensity 8,,,0.5487972824526633
ZQ2022_N2,,,0.5429915368307112
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1b,,,
FSO2013_Ratio H/L normalized Rep3___3,,,
AH2018_TMTMS3_2_N,,,0.5535541394762793
EJN2021_5_Rest_Basal,,,
NJH2025_Sub2_HIIT_Post,,,
NJH2025_Sub1_MICT_Post,,,
HS2024_9_B_T1,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. wt1a,,,
JAW2011_Ratio H/L LS2_1,,,
JVO2010_Log2 Ratio H/M Normalized aphidicolin,,,
NJH2024_Sub6_HIIT_Pre,,,
AH2018_SILAC_3_N,,,0.5335834607211738
YA2020_Reporter_intensity_Normal_No.1,,,0.5504227536414386
HS2024_3_B_T1,,,
JJ2018_Ratio H/L normalized___2,,,
RM2024_Intensity D0-2,,,
MV2014_Ratio M/L normalized B1___2 (5 min),,,
RB2022_7_PostStrength,,,0.5232284555097201
RB2022_1_PostEndurance,,,
CR2017_Ratio Replicate 3,,,0.5310599393939941
SR2019_Hs578T_Biol_repl_3,,,
MV2014_Ratio L/H normalized B3___1 (5 min),,,
RBK2021_1244T Early,,,
RB2022_3_PostSprint,,,
NJH2024_Sub13_MICT_Mid,,,
KTGR2014_Ratio-AA 2 mins,,,
